Audience Code,Audience Name,Audience Active,Audience Description
Kinto - Intro to AGG,Intro to AGG - Orientation,1,all Kinto users
Kinto - Intro to AGG (REHIRE),Intro to AGG - Orientation (REHIRE),1,Rehires who were gone for 1 year or longer
Kinto - Isocyanates,Isocyanates,1,This Audience have Isocyanates Users only.
Kinto - Leader Tech Leadership Courses,Leadership Courses - Stratford LTs,1,Leader Techs at Kinto - Stratford
Kinto - Legal Compliance,AGG Legal Compliance Training,1,Supervisors and above
Kinto - LMS Intro,LMS Introduction (Online),1,All AGGKinto employees
Kinto - LMS Intro for Managers,LMS Introduction for Managers (Online),1,anyone who manages others
Kinto - LOTO,Lockout Tagout (Authorized),1,Maintenance TM and Set Up Techs at Palmerston and Stratford
Kinto - New Hire Requirements,Kinto Orientation Required Courses,1,"New Hires____ WHMIS, Fire Safety, Preventing Harassment & Violence, Occupational Health & Safety"
Kinto - OJT Members,OJT Members (Kinto),1,This Audience have OJT Members (Kinto) Users only.
Kinto - Orientation Initiative,Initiative - Orientation (Kinto),1,This Audience have Initiative - Orientation (Kinto) Users only.
Kinto - Overhead Crane,Overhead Crane Certification,1,This Audience have Overhead Crane Certification Users only.
Kinto - Tamson Mold Engineering,Tamson Mold Engineering,0,Future - Mold Technician job title
Kinto - Tamson Mold Set Up,Tamson Mold Set Up,0,Currently - Injection Molding Technician & Set Up Tech in MT4101 and MT4101S Future - add job titles Assistant Manager & Leader Tech & Supervisor (in same departments)
Kinto - Tamson Production Engineering,Tamson Production Engineering,1,Currently - Maintenance in MT5240 and MT5240S; Managers in MT5240 & MT5240S & MT6530 & MT5290; Exclude David McMullen by name; add Mark Lange by name Future - Electrician in MT5240 and MT5240S; Engineer-Process in MT6530 and MT6530S; Supervisor in MT5240 and MT5240S and MT5290 and MT5290S; Technician in MT5290 and MT6530 and MT6530S; TPS Tech in MT5290 and MT5290S
Kinto - Percipio Access,Percipio Leadership Access,1,Gives access to Percipio Leadership E-Courses & Books
Kinto - Phishing & Cybersecurity,Phishing & Cybersecurity Basics,1,All salaried employees (job titles) & others who have company email addresses
Kinto - Pulmonary Medical Surveillance,Pulmonary Function Test,1,Paint____ Paint Indirect___ individual members
Kinto - RBT,RBT (Regional Basic Training),1,salaried employees
Kinto - Rehires Orientation Online,Rehire Orientation Curriculum Online Requirements (Kinto),1,For rehires only - who have previously completed the New Hire Initiative
Kinto - Respiratory Protection & Fit Test,Respiratory Protection & Fit Test,1,This Audience have Respiratory Protection & Fit Test Users only.
Kinto - Scissor & Boom,Scissor & Boom Certification,1,This Audience have Scissor & Boom Certification Users only.
Kinto - Statement of Confidentiality,Statement of Confidentiality,1,All salaried employees
Kinto - Supervisor Guidelines,SCP Guidelines (Kinto),1,SCP participants
Kinto - Supervisor Health & Safety,Supervisor Health & Safety Awareness,1,Any Kinto employee who has subordinates
Kinto - Welding,Welding Safety,1,maintenance TMs at Palmerston and Stratford
Kinto - WHMIS,WHMIS,1,This Audience have WHMIS Users only.
Kinto - Workplace Diversity,"Workplace Diversity, Equity & Inclusion in Action",1,"This Audience have Workplace Diversity, Equity & Inclusion in Action Users only."
Kinto users - test,Kinto users - test,1,This Audience have Kinto users - test Users only.
Mississippi Location,First Aid Certification - AGGMS,1,"AGGMS Team Members that volunteer to be on First Aid Team and are First Aid Certified: Heartsaver First Aid CPR AED is a video-based, instructor-led course that teaches students critical skills needed to respond to and manage an emergency until emergency medical services arrives."
MMT - New Structure,New MMT Training,1,This Audience have New MMT Training Users only.
MO - Legal Compliance,AGG Legal Compliance Training,1,For SPVR's and above
MO - Tamson Mold Engineering,Tamson Mold Engineering,0,Mold Engineers
MO - Tamson Mold Setters,Tamson Mold Setters,0,Mold Set-up TM's & Direct Mold Set-up TM's in Dept. 4623___ Supervisors in Dept. 4623X
MO - Tamson Production Engineering,Tamson Production Engineering,0,Production Engineers
MO - Tamson Quality Engineering,Tamson Quality Engineering,1,Quality Engineers
New Hire Training Plan for OJTP - Test,New Hire Training Plan for OJTP - Test,1,This Audience have New Hire Training Plan for OJTP - Test Users only.
New Test Audience,New Test Audience,1,This Audience have New Test Audience Users only.
New_Audience,New Audience,1,This Audience have New Audience Users only.
New_Hire_Survey,New Hire Survey,1,All New Hires (temp and direct)
New_Open_Sesame_Audience,New Open Sesame Audience,1,This Audience have New Open Sesame Audience Users only.
New_Test_Audience,New Audience,1,This Audience have New Audience Users only.
OHC_REHIRE_AUDIENCE_AGGMO,Overhead Crane Rehire Audience (AGGMO),1,Rehire audience for reassignment of activities to individuals who leave the company and return after more than 1 year has passed.
OneHR - HIPAA,HIPAA for OneHR,1,HR____ Payroll____ Employee Relations____
Ongoing,Preventing Harassment and Promoting Respect (ongoing),1,Assigns the three Global Harassment Courses to employees after 30 days of hire. AGG Global Harassment for Employees
Open_Sesame_Audience,Open Sesame Audience,1,Default audience for Open Sesame domain
OSHA_10,OSHA 10,1,Student Group
OSHA_30,OSHA 30,1,Student Group
Overhead_Crane_Cert._(AGGMS),Overhead Crane Cert. (AGGMS),1,Individuals who need to operate overhead cranes____ Mold Set Up Team Members
Overhead_Crane_Cert._(AGGNAI),Overhead Crane Cert. (AGGNAI),1,Individuals who need to operate overhead cranes___ Dept. 5043I____ Mold Set Up Team Members
Overhead_Crane_Remed._(AGGMO),Overhead Crane Remed. (AGGMO),1,"Individuals who have been involved in an accident, near-miss, or management has deemed retraining necessary."
Overhead_Crane_Remed._(AGGMS),Overhead Crane Remed. (AGGMS),1,"Individuals who have been involved in an accident, near-miss, or management has deemed retraining necessary."
Overhead_Crane_Remed._(AGGNAI),Overhead Crane Remed. (AGGNAI),1,"Individuals who have been involved in an accident, near-miss, or management has deemed retraining necessary."
Tamson Test,Tamson Test,1,This Audience have Tamson Test Users only.
Percipio_Business_Courses_Access,Percipio Business Courses Access,1,An audience for access to Percipio Business courses.
Percipio_CIS,CIS_Percipio,1,Audience for AGGNA CIS individuals to peruse the Percipio library.
PERCIPIO_MANAGER_ACCESS (AGGMO),Percipio Manager Access (AGGMO),1,Percipio Access Audience for AGGMO Managers.
Phishing and Cybersecurity Basics (REMEDIATION),Phishing and Cybersecurity Basics (REMEDIATION),1,Remediation audience for Phishing and Cybersecurity Basics. Based on names provided by CIS based on performance in their random phishing scenarios.
Plating_on_Plastics_(POP),Plating on Plastics (POP),1,Required for technical employees in Chrome Dept. - Requested by Amy Conwell (June 2019)
Preventing Harassment and Violence in the Canadian Workplace (Remediation),Preventing Harassment and Violence in the Canadian Workplace (Remediation),1,Audience for Canadian Harassment and Violence training. Only for direct assignments as a result of HR policy for remediation or retraining.
Process_Implementation_and_Changes,Process Implementation and Changes,1,"Manufacturing Engineers I, II, III"
Production_Mold_Change_Safety_Procedure,Production Mold Change Safety Procedure,1,Dept. 4623____ Mold Set-Up Team Members
Propane_Training,Propane Training,1,Any forklift certified employee that operate a propane forklift. Managers are responsible for assigning propane training on an individual bases.
push_ training due,Training Coming Due Push Notification,1,A notification setup for training coming due.
push_expired_training,Expired Training Push Notification,1,push notification audience for expired training.
push_incomplete_training,Incomplete Activities Push Notification,1,A push notification for incomplete training.
push_reminder to attend,Reminder to Attend Training Push Notification,1,Push notification audience to remind employee to attend training.
Quality_Control_-_6260,Quality Control - 6260,1,IATF
Rack_Recoat_Hazard_Training_for_Maintenance_TMs,Rack Recoat Hazard Training for Maintenance TMs,1,Rack recoat safety training for Maintenance Team Members 3-6 in department 5040.
Rack_Recoat_Safety_Training,Rack Recoat Safety Training,1,Safety Training for Rack Recoat TMs.
Read & Sign,Global Machine Safety Standards Training,1,This Audience have Global Machine Safety Standards Training Users only.
Registration Audience,TWI Job Instruction - Refresher Course (Registration Audience),1,"Allows registration only from Supervisors, Managers, and those who have completed TWI JI 10-hour Certification"
Registration_Test_Audience,Registration Test Audience (Do not assign),1,This Audience have Registration Test Audience (Do not assign) Users only.
Regulated_Medical_Waste_Packaging,Regulated Medical Waste Packaging,1,Student Group
Reporting_Audience_for_AGGMO_Administrators,Reporting Audience for AGGMO Administrators,1,This Audience have Reporting Audience for AGGMO Administrators Users only.
Reporting_Audience_for_AGGSIN_Administrators,Reporting Audience for AGGSIN Administrators,1,This Audience have Reporting Audience for AGGSIN Administrators Users only.
Respiratory_Protection,Respiratory Protection,1,Dept. 6218____ Individuals in Dept. 4665____ Emergency Response Team
Respiratory_Protection_eCourse_for_Chrome_Supervisors,Respiratory Protection eCourse for Chrome Supervisors,1,"Supervisors or managers in Chrome Dept. 6218 who manage users of the Respiratory Protection program, but who do not require the program themselves"
RM_Test_Audience_for_AGGKY,RM Test Audience for AGGKY,1,This Audience have RM Test Audience for AGGKY Users only.
RMX - LMS Introduction,LMS Introduction (Online),1,AGGRMX employees
RMX - RBT,RBT (Regional Basic Training),1,All salaried employees
safety_training_for_maintenance,Safety Training for Maintenance and Troubleshooting,1,AGGNA training for Maintenance and Engineering team members.
Salaried_MO_Employees,Salaried MO Employees,1,This Audience have Salaried MO Employees Users only.
Scissor_&_Boom_Cert._(AGGMS),Scissor & Boom Cert. (AGGMS),1,Individuals who require Scissor & Boom Certification.
Scissor_&_Boom_Cert._(AGGNAI),Scissor & Boom Cert. (AGGNAI),1,Individuals who require Scissor & Boom Certification.
Scissor_&_Boom_Remed._(AGGMO),Scissor & Boom Remed. (AGGMO),1,"Individuals who have been involved in an accident, near-miss, or management has deemed retraining necessary."
Scissor_&_Boom_Remed._(AGGMS),Scissor & Boom Remed. (AGGMS),1,"Individuals who have been involved in an accident, near-miss, or management has deemed retraining necessary."
Scissor_&_Boom_Remed._(AGGNAI),Scissor & Boom Remed. (AGGNAI),1,"Individuals who have been involved in an accident, near-miss, or management has deemed retraining necessary."
SCISSOR_BOOM_REHIRE_AUDIENCE_AGGMO,Scissor and Boom Rehire Audience (AGGMO),1,Rehire audience for reassignment of activities to individuals who leave the company and return after more than 1 year has passed.
SCP_-_L&D_Facilitators,SCP - L&D Facilitators,1,L&D Facilitators for Supervisor Certification Program
SCP_Completion_Audience,Supervisor Certification Program Completion,1,Audience to generate historical record of SCP completions.
SCP_Library_Access,SCP Library Access,1,All Supervisors and up
Scrubber_Evacuation_Awareness,Scrubber Evacuation Awareness,1,Chrome Departments
Seven_Quality_Control_Tools_for_Managers_(IE_and_SS),Seven Quality Control Tools for Managers (IE and SS),1,Specific user audience for a collection of Seven Quality Control tools. Required for IATA audit.
Shipping_Dangerous_Goods_General_Awareness,Shipping Dangerous Goods General Awareness,1,This Audience have Shipping Dangerous Goods General Awareness Users only.
Skillsoft_-_OLSA_Audience,Skillsoft - OLSA Audience,1,Default audience for Skillsoft - OLSA domain
Skillsoft_-_Percipio_Audience,Skillsoft - Percipio Audience,1,Default audience for Skillsoft - Percipio domain
Skillsoft_-_Percipio_Compliance_Audience,Skillsoft - Percipio Compliance Audience,1,Default audience for Skillsoft - Percipio Compliance domain
SLO participants,SCP Guidelines for SLO,1,Participants of the Supervisor Learning Opportunity
Special_Characteristics_Training,Special Characteristics Training,1,All employees in SS division
Statement_of_Confidentiality,Statement of Confidentiality,1,corporate administration/accounting groups: 8030____8031____8034____8035____8042____8052____8060____8030I____8031I____8030M____8031M____
Succession_Plan_for_Aaron_Harris,Succession Plan for Aaron Harris,1,This Audience have Succession Plan for Aaron Harris Users only.
Succession_Plan_for_Alec_Ernst,Succession Plan for Alec Ernst,1,This Audience have Succession Plan for Alec Ernst Users only.
Succession_Plan_for_Angie_Geile,Succession Plan for Angie Geile,1,This Audience have Succession Plan for Angie Geile Users only.
Succession_Plan_for_Angie_Kapp,Succession Plan for Angie Kapp,1,This Audience have Succession Plan for Angie Kapp Users only.
Succession_Plan_for_Angie_Prost,Succession Plan for Angie Prost,1,This Audience have Succession Plan for Angie Prost Users only.
Succession_Plan_for_Brian_Behrle,Succession Plan for Brian Behrle,1,This Audience have Succession Plan for Brian Behrle Users only.
Succession_Plan_for_Chris_Barrows,Succession Plan for Chris Barrows,1,This Audience have Succession Plan for Chris Barrows Users only.
Succession_Plan_for_Chris_Cox,Succession Plan for Chris Cox,1,This Audience have Succession Plan for Chris Cox Users only.
Succession_Plan_for_Chris_Roseman,Succession Plan for Chris Roseman,1,This Audience have Succession Plan for Chris Roseman Users only.
Succession_Plan_for_Clay_Kuehn,Succession Plan for Clay Kuehn,1,This Audience have Succession Plan for Clay Kuehn Users only.
Succession_Plan_for_Gary_Umfleet,Succession Plan for Gary Umfleet,1,This Audience have Succession Plan for Gary Umfleet Users only.
Succession_Plan_for_Jamie_Robinson,Succession Plan for Jamie Robinson,1,This Audience have Succession Plan for Jamie Robinson Users only.
Succession_Plan_for_Janel_Meyr,Succession Plan for Janel Meyr,1,This Audience have Succession Plan for Janel Meyr Users only.
Succession_Plan_for_Jason_Anderson,Succession Plan for Jason Anderson,1,This Audience have Succession Plan for Jason Anderson Users only.
Succession_Plan_for_Jason_Huber,Succession Plan for Jason Huber,1,This Audience have Succession Plan for Jason Huber Users only.
Succession_Plan_for_Jason_Robinson,Succession Plan for Jason Robinson,1,This Audience have Succession Plan for Jason Robinson Users only.
Succession_Plan_for_Jerad_Tittel,Succession Plan for Jerad Tittel,1,This Audience have Succession Plan for Jerad Tittel Users only.
Succession_Plan_for_Justin_Walker,Succession Plan for Justin Walker,1,This Audience have Succession Plan for Justin Walker Users only.
Succession_Plan_for_Kim_Layton,Succession Plan for Kim Layton,1,This Audience have Succession Plan for Kim Layton Users only.
Succession_Plan_for_Les_Renaud,Succession Plan for Les Renaud,1,This Audience have Succession Plan for Les Renaud Users only.
Succession_Plan_for_Lorenzo_Rodriguez,Succession Plan for Lorenzo Rodriguez,1,This Audience have Succession Plan for Lorenzo Rodriguez Users only.
Succession_Plan_for_Mark_Miller,Succession Plan for Mark Miller,1,This Audience have Succession Plan for Mark Miller Users only.
Succession_Plan_for_Matt_Buttke,Succession Plan for Matt Buttke,1,This Audience have Succession Plan for Matt Buttke Users only.
Succession_Plan_for_Mike_Pyle,Succession Plan for Mike Pyle,1,This Audience have Succession Plan for Mike Pyle Users only.
Succession_Plan_for_Rhonda_Ruark,Succession Plan for Rhonda Ruark,1,This Audience have Succession Plan for Rhonda Ruark Users only.
Succession_Plan_for_Scott_Abernathy,Succession Plan for Scott Abernathy,1,This Audience have Succession Plan for Scott Abernathy Users only.
Succession_Plan_for_Susan_Davis,Succession Plan for Susan Davis,1,This Audience have Succession Plan for Susan Davis Users only.
Succession_Plan_for_Tom_Huber,Succession Plan for Tom Huber,1,This Audience have Succession Plan for Tom Huber Users only.
Succession_Plan_for_Tony_Anschultz,Succession Plan for Tony Anschultz,1,This Audience have Succession Plan for Tony Anschultz Users only.
Succession_Planning_Audience_(AGGMO),Succession Planning Audience (AGGMO),1,Audience for managers in succession planning.
Succession_Planning_Reporting_Audience_(AGGMO),Succession Planning Reporting Audience (AGGMO),1,Succession planning report audience for access to the Succession Planning reports folder.
sustainable_development_goals,Sustainable Development Goals,1,"An audience for intro to SDGs. Starting with AGM and above, eventually to everyone."
Sustainable_Development_Goals_(AGGNA),Sustainable Development Goals (AGGNA),1,Sustainable Development Goals audience for AGGNA.
Sustainable_Development_Goals_(Kinto),Sustainable Development Goals (Kinto),1,SDGs for AGG Kinto
system_administrators,System Administrators,1,This Audience have System Administrators Users only.
Temp_Leader_Report_(AGGBTX)_Audience,Temp Leader Report (AGGBTX) Audience,1,Allows restriction in Advanced Reporting DO NOT ADJUST AUDIENCE
Temp_Leader_Report_(AGGMO)_Audience,Temp Leader Report (AGGMO) Audience,1,Allows restriction in Advanced Reporting DO NOT ADJUST AUDIENCE (staff updated 10-26-20)
Temp_Leader_Report_(AGGMS)_Audience,Temp Leader Report (AGGMS) Audience,1,Allows restriction in Advanced Reporting DO NOT ADJUST AUDIENCE
Temp_Leader_Report_(AGGNAI)_Audience,Temp Leader Report (AGGNAI) Audience,1,Allows restriction in Advanced Reporting DO NOT ADJUST AUDIENCE
Test,Test,1,This Audience have Test Users only.
"Test - 4 columns for Assistant Manager, Production","Assistant Manager, Production (4 columns)",1,"Problem Point - pulls in job title ""Manager, Assistant, Tech"""
"Test - 4 columns for Manager, Production","Manager, Production (4 columns)",1,"This Audience have Manager, Production (4 columns) Users only."
"Test - 4 columns for Supervisor II, Production","Supervisor II, Production (4 columns)",1,"This Audience have Supervisor II, Production (4 columns) Users only."
"Test - 4 columns for Supervisor, HR","Supervisor, HR (4 columns)",1,"This Audience have Supervisor, HR (4 columns) Users only."
"Test - 4 columns for Supervisor, Production","Supervisor I, Production (4 columns)",1,Problem Point - 10 pages of supervisor job titles
Test Audience,Test Audience,1,This Audience have Test Audience Users only.
Test Initiative - Leadership,Test Initiative - Leadership,1,This Audience have Test Initiative - Leadership Users only.
test test,Test audience (Jenni),1,This Audience have Test audience (Jenni) Users only.
test_-_all_managers/supervisors,test - all managers/supervisors,1,This Audience have test - all managers/supervisors Users only.
TEST_-_Tamson_Production_Engineering_-_TEST,TEST - Tamson Production Engineering - TEST,1,This Audience have TEST - Tamson Production Engineering - TEST Users only.
Test_-_Salary,Test - Salary,1,This Audience have Test - Salary Users only.
Test_ASK PHPR,TEST_ASK PHPR,1,Test for PHPR at ASK...Delete when correct
Test_Engineer_Tech_I_(Standard)_Learning__Plan,Test Engineer Tech I (Standard) Learning Plan,1,This Audience have Test Engineer Tech I (Standard) Learning Plan Users only.
"test_for_rule_set_""User_is_Manager_of_____employees""","test for rule set ""User is Manager of ___ employees""",1,"This Audience have test for rule set ""User is Manager of ___ employees"" Users only."
Test_IMX PHPR,Test_IMX PHPR,1,IMX Test audience
Test_New Hire Survey Audience,Test_New Hire Survey Audience,1,Troubleshooting gap in New Hire Survey audience.
TEST_Observation Checklist Observer,TEST Observation Checklist Observer,1,This Audience have TEST Observation Checklist Observer Users only.
Test_Online_Rehire_Audience,Test Online Rehire Audience,1,This Audience have Test Online Rehire Audience Users only.
Test_PHPR_Replacement,Test DEI Audience,1,This Audience have Test DEI Audience Users only.
Test_Pix Audience,Test_Pix Audience,1,This Audience have Test_Pix Audience Users only.
Test_Rehire_End_date,Test Rehire End date,1,This Audience have Test Rehire End date Users only.
Test2_ASK_PHPR,Test_ASK2_PHPR,1,This Audience have Test_ASK2_PHPR Users only.
AGG - Critical Safety Parts Control Training,Critical Safety Parts Control Training,1,For safety systems production supervisors.
AGG Global Harassment for Employees,Preventing Harassment and Promoting Respect,1,Audience for non-manager harassment training across all US locations. AGG Global Harassment for Employees
AGG_Test,Test Pix,1,This Audience have Test Pix Users only.
AGGASK - 11 Commitments,11 Commitments,1,This Audience have 11 Commitments Users only.
AGGASK - 49 CFR,49 CFR Dangerous Goods,1,This Audience have 49 CFR Dangerous Goods Users only.
AGGASK - Antitrust,Antitrust Compliance Oath,1,all salaried
AGGASK - Benefits Orientation,Intro to AGG - Benefits Orientation,1,This Audience have Intro to AGG - Benefits Orientation Users only.
AGGASK - Benefits Orientation (REHIRE),Intro to AGG - Benefits Orientation (REHIRE),1,Rehires who were gone for 1 year or longer
AGGASK - Bribery Guidelines,Bribery Guidelines,1,"AGM, GM, SGM"
AGGASK - Business Conduct,Business Conduct Agreement,1,All Salary members
AGGASK - confined space,Confined Space,1,maintenance departments
AGGASK - Critical Parts Control,Critical Safety Parts Control Training (for TM's),1,Brett Wilson specifically requested these TMs be assigned this training (4/21/22).
AGGASK - Critical Safety Parts Control Training,Critical Safety Parts Control Training,1,This Audience have Critical Safety Parts Control Training Users only.
AGGASK - Culture Survey,AGGASK Culture Survey,1,All AGGASK members
AGGASK - Electrical Safety,Electrical Safety,1,Maintenance____ TPS____ Engineering
AGGASK - Filehold Training,Filehold Training,1,This Audience have Filehold Training Users only.
AGGASK - Fire Extinguisher,Fire Extinguisher,1,"Extrusion, Maintenance, all supervisors"
AGGASK - Forklift Cert,Forklift Certification (ASK),1,This Audience have Forklift Certification (ASK) Users only.
AGGASK - Forklift Safety E-Course Recertification,Forklift E-Course Recert (ASK),1,Forklift operators who have previously completed Forklift Certification requirements. This is a 3-yr recert for the e-course only.
AGGASK - Hearing Conservation,Hearing Conservation,1,Maintenance____ TPS____ Engineering
AGGASK - initial push to FL operators,Forklift Safety E-course (AGGASK),1,Requested by Jesse McQuire
AGGASK - Intro to AGG (REHIRE),Intro to AGG - Orientation (REHIRE),1,Rehires who were gone for 1 year or longer
AGGASK - Laser Safety,Laser Safety,1,Maintenance____ TPS____ Engineering
AGGASK - Legal Compliance,AGG Legal Compliance,1,Supervisors and above
AGGASK - LMS Introduction Online,LMS Introduction (Online),1,All members of AGGASK
AGGASK - LOTO,Lockout Tagout (Authorized),1,maintenance____ some jobs in engineering
AGGASK - OHC,Overhead Crane Cert (AGGASK),1,Maintenance
AGGASK - Orientation,Intro to AGG - Orientation,1,This Audience have Intro to AGG - Orientation Users only.
AGGASK - Orientation Initiative,Initiative - Orientation (ASK),1,Directs & Temps with start date on or after 8/22/22
AGGASK - Orientation Initiative - REHIRE,Initiative - Orientation REHIRE (AGGASK),1,Rehires who were gone from the company for 1 year or longer
AGGASK - Tamson Mold Setters,Tamson Mold Setters,0,This Audience have Tamson Mold Setters Users only.
AGGASK - Phishing & Cybersecurity,Phishing & Cybersecurity Basics,1,Salaried members____ maintenance____ Kaizen____ Team Leads____ Quality____ individual users
AGGASK - RBT Managers,RBT (Regional Basic Training) AGGASK - Managers,1,RBT for AGGASK Managers and above. 14 days to complete.
AGGASK - RBT Salary,RBT (Regional Basic Training) AGGASK Salary,1,RBT for AGGASK salaried employees. 30 days to complete.
AGGASK - Scissor & Boom,Scissor & Boom Cert. (AGGASK),1,This Audience have Scissor & Boom Cert. (AGGASK) Users only.
AGGASK LMS Introduction for Managers,LMS Introduction for Managers (AGGASK),1,LMS introduction for managers. Pushed on 9/28.
AGGFS,Intro to AGG - Orientation,1,All AGGFS Team Members
AGGFS - Antitrust Compliance Oath,Antitrust Compliance Oath,1,All salaried job titles
AGGFS - Benefits Orientation,Intro to AGG - Benefits Orientation,1,New full-time direct hires
AGGFS - Boom Lift,Scissor & Boom Certified (Boom Lift),1,This Audience have Scissor & Boom Certified (Boom Lift) Users only.
AGGFS - Bribery Guidelines,Bribery Guidelines,1,"For Assistant GMs, GMs, and SGMs"
AGGFS - Business Conduct Agreement,Business Conduct Agreement,1,All salaried job titles
AGGFS - Electrical Safety,Electrical Safety,1,This Audience have Electrical Safety Users only.
AGGFS - Fall Protection,Fall Protection,1,This Audience have Fall Protection Users only.
AGGFS - Fire Extinguisher,Fire Extinguisher,1,This Audience have Fire Extinguisher Users only.
AGGFS - First Aid,First Aid Certification,1,Members who are certified to perform First Aid
AGGFS - First Aid Instructor,First Aid Instructor Certification,1,Certified instructor for First Aid/CPR/AED
AGGFS - Forklift (Sitdown),Forklift Certified (Sitdown),1,This Audience have Forklift Certified (Sitdown) Users only.
AGGFS - Forklift (Standup),Forklift Certified (Standup),1,This Audience have Forklift Certified (Standup) Users only.
AGGFS - Forklift (Tugger),Forklift Certified (Tugger),1,This Audience have Forklift Certified (Tugger) Users only.
AGGFS - Forklift Certification,Forklift Certification (AGGFS),1,This Audience have Forklift Certification (AGGFS) Users only.
AGGFS - Forklift Remediation,Forklift REMEDIATION (AGGFS),1,This Audience have Forklift REMEDIATION (AGGFS) Users only.
AGGFS - Hazcom,Hazard Communication,1,This Audience have Hazard Communication Users only.
AGGFS - Laser Safety,Laser Safety,1,This Audience have Laser Safety Users only.
AGGFS - Laser Safety Officer,Laser Safety Officer,1,This Audience have Laser Safety Officer Users only.
AGGFS - LMS Intro (Online),LMS Introduction (Online),1,all employees at AGGFS
AGGFS - Lockout Tagout,Lockout Tagout (Authorized),1,This Audience have Lockout Tagout (Authorized) Users only.
AGGFS - Overhead Crane,Overhead Crane Cert (AGGFS),1,Engineering Tech____ Tool Maker____ Machine Builder____ Process Engineering Mgr____ Sr Manufacturing Engineer
AGGFS - Phishing & Cybersecurity,Phishing and Cybersecurity Basics,1,All salaried employees & others who have company email addresses
AGGFS - RBT,RBT (Regional Basic Training) AGGFS,1,All Salary Job Titles
AGGFS - Regulated Medical Waste Packaging,Regulated Medical Waste Packaging,1,Select users
AGGFS - Scissor & Boom,Scissor & Boom Lift (AGGFS),1,scissor & boom operators
AGGFS - Scissor Liift,Scissor & Boom Certified (Scissor Lift),1,This Audience have Scissor & Boom Certified (Scissor Lift) Users only.
AGGFS - Statement of Confidentiality,Statement of Confidentiality,1,Employees exposed to employees' personal private information
AGGFS - Storm Water,Storm Water Management & Spill Prevention,1,This Audience have Storm Water Management & Spill Prevention Users only.
AGGFS - Storm Water Operator License,Storm Water Operator License,1,Individual users
AGGFS - Survey (EE Satisfaction / Culture),AGGFS Employee Satisfaction Survey,1,All AGGFS members
AGGFS - Welding Safety,Welding Safety,1,Employees who weld or oversee welding
AGGFS Location (Online),LMS Introduction for Managers (Online),1,Supervisors and above
AGGFS_BENEFITS_REHIRE,Intro to AGG Benefits Rehire (AGGFS),1,Intro to benefits rehire for AGGFS members.
AGGFS_REHIRES,Intro to AGG Orientation - Rehire Audience (AGGFS),1,Rehires that were inactive to equal to or greater to one year and require re-orientation.
AGGIMX - LMS Intro (ILT),LMS Introduction,1,All job titles except Assistant Managers and Managers
AGGIMX - LMS Intro (Online),LMS Introduction (Online),1,All IMX team members who have not completed LMS Introduction ILT.
AGGIMX Location,LMS Introduction for Managers,1,Assistant Managers____Managers____Vice President____President
AGGj_reporting_audience,AGGJ Reporting Audience,1,Reporting audience for AGGJ RBT tracking and custom reports.
AGGKY - 49 CFR DOT,49 CFR (DOT) Dangerous Goods,1,This Audience have 49 CFR (DOT) Dangerous Goods Users only.
AGGKY - Annual Safety Awareness Training,AGGKY Annual Safety Awareness Training,1,all AGGKY members
AGGKY - Antitrust Compliance Oath,Antitrust Compliance Oath,1,All salaried employees
AGGKY - Benefits Orientation,Intro to AGG - Benefits Orientation,1,New full-time direct hires
AGGKY - Benefits Orientation (REHIRE),Intro to AGG - Benefits Orientation (REHIRE),1,Rehires who were gone for 1 year or longer
AGGKY - Bribery Guidelines,Bribery Guidelines,1,AGM's____ GM's____ Sr GM's
AGGKY - Business Conduct Agreement,Business Conduct Agreement,1,All salaried employees
AGGKY - Electrical Safety,Electrical Safety,1,This Audience have Electrical Safety Users only.
AGGKY - Fire Extinguisher,Fire Extinguisher,1,This Audience have Fire Extinguisher Users only.
AGGKY - Intro to AGG,Intro to AGG - Orientation,1,All AGGKY new hires
AGGKY - Intro to AGG (REHIRE),Intro to AGG - Orientation (REHIRE),1,Rehires who were gone for 1 year or longer
AGGKY - Laser Safety,Laser Safety,1,This Audience have Laser Safety Users only.
AGGKY - Legal Compliance,AGG Legal Compliance Training,1,SPRVR's and above
AGGKY - LMS Intro for Managers,LMS Introduction for Managers (Online),1,Anyone who manages others
AGGKY - LMS Intro SPANISH,LMS Introduction - SPANISH,1,This Audience have LMS Introduction - SPANISH Users only.
AGGKY - LMS Introduction,LMS Introduction (Online),1,All AGGKY employees
AGGKY - Lockout Tagout,Lockout Tagout (Authorized),1,This Audience have Lockout Tagout (Authorized) Users only.
AGGKY - Phishing & Cybersecurity,Phishing & Cybersecurity Basics,1,All salaried employees
AGGKY - RBT,RBT (Regional Basic Training),1,All salaried employees
AGGKY - RCRA,RCRA Training,1,This Audience have RCRA Training Users only.
"AGGKY - Respirator Fit Test, PFT, Respiratory Protection","Respirator Fit Test, Pulmonary Function Test, Respiratory Protection e-Cour",1,EHS group and TM's who mix RFL (brake hose adhesive)
AGGKY - Safety Dojo,AGGKY Annual Safety Dojo,1,This Audience have AGGKY Annual Safety Dojo Users only.
AGGKY - Statement of Confidentiality,Statement of Confidentiality,1,Employees exposed to employees' personal private information
AGGKY - Static Grounding,Static Grounding,1,Paint engineers____ Paint team members____ Paint supervisors
