Audience Code,Audience Name,Audience Active,Audience Description
due JAN 31,AGG Covid Vaccination Incentive Survey JAN 31,1,Audience for 2nd round of Covid Vaccine Incentive Responses. Only pushed to audience members from previous group who did not complete the survey.
due March 31st,Covid Vaccine Incentive Survey (due March 31st),1,This Audience have Covid Vaccine Incentive Survey (due March 31st) Users only.
Electrical_Safety,Electrical Safety,1,"Engineer (Chrome, Electrical, Mechanical)____ Engineering Tech TPS____ Engineering Tech I, II, III____ Machine Engineer I, II, III____ Maintenance Team Member I, II, III, IV,V,VI____ Manufacturing Engineering I, II, III____ Mold Engineer I, II____ Production Engineer I____ TPS Engineer I, II, Maintenance Team Member, Jr"
Electrical_Safety,Electrical Safety,1,This Audience have Electrical Safety Users only.
Emergency_Response_Team_(MO),Emergency Response Team (MO),1,AGGMO Emergency Response Team
Emotional_Intelligence_for_Managers,Emotional Intelligence for Managers,1,"Audience for the Emotional Intelligence for Managers curriculum. Managers, Assistant Managers, and Senior Managers."
Emotional_Intelligence_Training,Emotional Intelligence Training,1,Asst GM's and above
Engineering_Tech_I_Training_Plan_(TEST),Engineering Tech I Training Plan (TEST),1,This Audience have Engineering Tech I Training Plan (TEST) Users only.
expense_report_training,Expense Report Training,1,Expense report training audience for all Managers and Supervisors.
Failure_Mode_&_Effects_Analysis_(FMEA),Failure Mode & Effects Analysis (FMEA),1,Quality Engineers____ Manufacturing Engineers____ Engineering Techs____ Internal Auditors
Fall_Protection,Fall Protection,1,"Dept. 5090, 5091, 5091I _____ Maintenance I,II,III,IV,V,VI; Maintenance Engineer, Maintenance Team Member, Jr _____ Maintenance Dept. Supervisors & Managers"
Fall_Protection,Fall Protection,1,for personnel who work at heights
FMLA_(Family_Medical_Leave_Act),FMLA (Family Medical Leave Act),0,Supervisors____ Managers____ General Managers
For testing Spanish Translations,Test Translations - Spanish,1,This Audience have Test Translations - Spanish Users only.
Forklift_Certification_(AGGBTX),Forklift Certification (AGGBTX),1,Individuals who require have Forklift Certification.
Forklift_Certification_(AGGMS),Forklift Certification (AGGMS),1,Individuals who require Forklift Certification
Forklift_Certification_(AGGNAI),Forklift Certification (AGGNAI),1,Individuals who require Forklift Certification Dept: 5020I
Forklift_Re-Certify,Forklift Re-Certify,1,"Employee has a prior record of completion, but needs to re-certify (ex. hasn't operated a forklift in more than a year)"
Forklift_Remediation_(AGGBTX),Forklift Remediation (AGGBTX),1,"Individuals who have been involved in an accident, near-miss, or management has deemed retraining necessary."
Forklift_Remediation_(AGGMO),Forklift Remediation (AGGMO),1,"Individuals have been involved in an accident, near-miss, or management has deemed retraining necessary."
Forklift_Remediation_(AGGMS),Forklift Remediation (AGGMS),1,"Individuals who have been involved in an accident, near-miss, or management has deemed retraining necessary."
Forklift_Remediation_(AGGNAI),Forklift Remediation (AGGNAI),1,"Individuals who have been involved in an accident, near-miss, or management has deemed retraining necessary."
Forklift_View_in_Library,Forklift View in Library,1,This Audience have Forklift View in Library Users only.
FS - Legal Compliance,AGG Legal Compliance Training,1,For SPVRs and above
fs_reporting_audience,FS Reporting Audience,1,Reporting audience for FS domain.
GDBR - Portuguese Version - Harassment Prevention for Managers,Global Workplace Harassment Prevention for Managers,1,Supervisors & Managers
GDBR_Coordinators_Temporary,GDBR Coordinators,1,Audience for Coordinators(Coordenador) at AGGGDBR
GDBR_Expats_Temporary,GDBR Expats,1,Audience for Expats at GDBR
GDBR_Managers,GDBR Managers,1,Audience for Managers(Gerente) at AGGGDBR
GDBR_Supervisors_Temporary,GDBR Supervisors,1,Audience for Supervisors at AGGGDBR
Ghost_Audience,Ghost Audience,1,Default audience for Ghost domain
Glacial_Acetic_Acid_(GAA)_Work_Instruction,Glacial Acetic Acid (GAA) Work Instruction,1,This Audience have Glacial Acetic Acid (GAA) Work Instruction Users only.
Global - Tamson ME,Tamson Links (Mold Engineers),1,This Audience have Tamson Links (Mold Engineers) Users only.
Global - Tamson MS,Tamson Links (Mold Setter),1,This Audience have Tamson Links (Mold Setter) Users only.
Global - Tamson PE,Tamson Links (Production Engineers),1,This Audience have Tamson Links (Production Engineers) Users only.
Global - Tamson QE,Tamson Links (Quality Engineers),1,This Audience have Tamson Links (Quality Engineers) Users only.
"Global - Training Plan - Supervisor, Production (TEST)","Supervisor, Production - Training Plan",1,(TEST) Applies to all production supervisors
Global_Audience,Global Audience,1,Default audience for Global domain
Global_Data Architecture,Data Architecture,1,Computer training for engineers
Global_Data Science,Data Science,1,Computer training for supervisors & engineers
Global_Executive_Development_(GED),Global Executive Development (GED),1,This Audience have Global Executive Development (GED) Users only.
Global_Executive_Seminar_(GES),Global Executive Seminar (GES),1,This Audience have Global Executive Seminar (GES) Users only.
Global_IT Literacy Entry Level,IT Literacy - Entry Level,1,Computer courses for Supervisors
Global_Japanese version_Harassment Prevention for Managers,Global Workplace Harassment Prevention for Managers (Japanese),1,This Audience have Global Workplace Harassment Prevention for Managers (Japanese) Users only.
Global_Leadership_Development_Program_(GLDP),Global Leadership Development Program (GLDP),1,Presidents____ Vice Presidents
Global_PHPR_NonManagers,NEW_Preventing Harassment & Promoting Respect for Non-Managers,1,"Preventing Harassment and Promoting Respect for Non-Managers. Assigns 3 Activities. COMPLIANCE SHORT: Preventing Harassment and Promoting Respect 1,2,3."
