Topic Code,Parent topic code,TopicName
Security_Manager,Information_Systems_Audit_and_Control_Association,Security Manager
Security_Skills,English,Security Skills
Self-Discovery,Professional_Improvement,Self-Discovery
Selling_Skills,Sales_&_Marketing,Selling Skills
Server_Technology,Cloud_Computing_&_Server_Technology,Server Technology
Six_Sigma,Topics,Six Sigma
Six_Sigma_Certification,American_Society_for_Quality_(ASQ),Six Sigma Certification
Skillsoft,Topics,Skillsoft
Skillsoft_Bootcamps,Percipio,Skillsoft Bootcamps
Skillsoft_Bootcamps,Topics,Skillsoft Bootcamps
Skillsoft_Compliance,Topics,Compliance
Skillsoft_Leadercamps,Percipio,Skillsoft Leadercamps
Skillsoft_Leadercamps,Topics,Skillsoft Leadercamps
Skillsoft_Leadercamps:_Live_and_Replays,Skillsoft_Leadercamps,Skillsoft Leadercamps: Live and Replays
Skillsoft_Live_Events,Percipio,Skillsoft Live Events
Skillsoft_Live_Events,Topics,Skillsoft Live Events
Skillsoft’s_The_Edge_Podcast,Percipio,Skillsoft’s The Edge Podcast
Skillsoft’s_The_Edge_Podcast,Topics,Skillsoft’s The Edge Podcast
SkillsoftAspire,Skillsoft,Skillsoft Aspire
skillsoftaspire_10,SkillsoftAspire,Software Tester to DevOps Automated Tester
skillsoftaspire_10_F,skillsoftaspire_10,Productivity Tools forDevOps Automated Testers
skillsoftaspire_11,SkillsoftAspire,Penetration Tester to SecOps Engineer
skillsoftaspire_11_F,skillsoftaspire_11,Productivity Tools for SecOps Engineers
skillsoftaspire_12,SkillsoftAspire,Web Programmer to Apprentice Programmer
skillsoftaspire_12_E,skillsoftaspire_12,Business & Leadership for Apprentice Programmers
skillsoftaspire_12_F,skillsoftaspire_12,Productivity Tools for Apprentice Programmers
skillsoftaspire_13,SkillsoftAspire,Software Project Lead to Advanced Scrum Master
skillsoftaspire_13_F,skillsoftaspire_13,Productivity Tools for Advanced Scrum Masters
skillsoftaspire_14,SkillsoftAspire,Network Security Specialist to CloudOps Security Architect
skillsoftaspire_14_F,skillsoftaspire_14,Productivity Tools for CloudOps Security Architect
skillsoftaspire_15,SkillsoftAspire,DevOps Engineer to Cloud Architect
skillsoftaspire_15_F,skillsoftaspire_15,Productivity Tools for Cloud Architects
skillsoftaspire_16,SkillsoftAspire,Apprentice Developer to Journeyman Developer
skillsoftaspire_16_E,skillsoftaspire_16,Business & Leadership for Journeyman Developers
skillsoftaspire_16_F,skillsoftaspire_16,Productivity Tools for Journeyman Developers
skillsoftaspire_17,SkillsoftAspire,AI Apprentice to AI Architect
skillsoftaspire_17_E,skillsoftaspire_17,Business & Leadership for AI Architects
skillsoftaspire_17_F,skillsoftaspire_17,Productivity Tools for AI Architects
skillsoftaspire_18,SkillsoftAspire,Programmer to API Developer
skillsoftaspire_18_E,skillsoftaspire_18,Business & Leadership for API Developers
skillsoftaspire_18_F,skillsoftaspire_18,Productivity Tools for API Developers
skillsoftaspire_19,SkillsoftAspire,Developer to Software Architect
skillsoftaspire_19_E,skillsoftaspire_19,Business & Leadership for Software Architects
skillsoftaspire_19_F,skillsoftaspire_19,Productivity Tools for Software Architects
skillsoftaspire_20,SkillsoftAspire,Network Admin to Site Reliability Engineer
skillsoftaspire_20_E,skillsoftaspire_20,Business & Leadership for Site Reliability Engineers
skillsoftaspire_20_F,skillsoftaspire_20,Productivity Tools for Site Reliability Engineers
skillsoftaspire_21,SkillsoftAspire,Infrastructure Support Engineer to CloudOps Engineer
skillsoftaspire_21_F,skillsoftaspire_21,Productivity Tools for CloudOps Engineers
skillsoftaspire_24,SkillsoftAspire,Business Analyst to Data Analyst
skillsoftaspire_24_F,skillsoftaspire_24,Productivity Tools for Business Analyst to Data Analysts
skillsoftaspire_25_B,skillsoftaspirelb_,Efficiency & Productivity in the New Normal
skillsoftaspire_25_D,skillsoftaspirelb_,Managing & Leading through Unexpected Disruption
skillsoftaspire_26,SkillsoftAspire,Data Visualization
skillsoftaspire_26_F,skillsoftaspire_26,Productivity Tools for Data Visualization
skillsoftaspire_27,SkillsoftAspire,Pythonista to Python Master
skillsoftaspire_27_F,skillsoftaspire_27,Business & Leadership for Python Master
skillsoftaspire_27_G,skillsoftaspire_27,Productivity Tools for Python Master
skillsoftaspire_29,SkillsoftAspire,Data Analysis with R
skillsoftaspire_29_E,skillsoftaspire_29,Business & Leadership for Data Analysis with R
skillsoftaspire_29_F,skillsoftaspire_29,Productivity Tools for Data Analysis with R
skillsoftaspire_30,SkillsoftAspire,Security Essentials for Decision-makers and Leaders
skillsoftaspire_30_E,skillsoftaspire_30,Productivity Tools for Decision-makers and Leaders
skillsoftaspire_31,SkillsoftAspire,Agile for Software Development
skillsoftaspire_31_G,skillsoftaspire_31,Productivity Tools with Agile for Software Development
skillsoftaspire_32,SkillsoftAspire,Serverless Deployments for Developers
skillsoftaspire_32_C,skillsoftaspire_32,Business & Leadership with Serverless Deployments for Developers
skillsoftaspire_32_D,skillsoftaspire_32,Productivity Tools with Serverless Deployments for Developers
skillsoftaspire_33,SkillsoftAspire,Java Novice to Javanista
skillsoftaspire_33_D,skillsoftaspire_33,Business & Leadership for Javanista
skillsoftaspire_33_E,skillsoftaspire_33,Productivity Tools for Javanista
skillsoftaspire_34,SkillsoftAspire,Web App Vulnerability Analyst
skillsoftaspire_34_C,skillsoftaspire_34,Productivity Tools for Web App Vulnerability Analyst
skillsoftaspire_35,SkillsoftAspire,5G Technologies and Practices
skillsoftaspire_35_D,skillsoftaspire_35,Productivity Tools for 5G Technologies and Practices
skillsoftaspire_38,SkillsoftAspire,Go Programming Essentials
skillsoftaspire_38_D,skillsoftaspire_38,Business & Leadership for Go Programming Essentials
skillsoftaspire_39,SkillsoftAspire,Enriched Web Development with Angular 11
skillsoftaspire_39_B,skillsoftaspire_39,Business & Leadership for Enriched Web Development with Angular 11
skillsoftaspire_4,SkillsoftAspire,Novice Developer to Pythonista
skillsoftaspire_4_bs,skillsoftaspire_4,Business & Leadership for Pythonista
skillsoftaspire_42,SkillsoftAspire,Javanista to Java Master
skillsoftaspire_42_E,skillsoftaspire_42,Business & Leadership for Javanista to Java Master
skillsoftaspire_46,SkillsoftAspire,Developer Fundamentals
skillsoftaspire_46_E,skillsoftaspire_46,Business & Leadership for Developer Fundamentals
skillsoftaspire_47,SkillsoftAspire,Programming Python in Action
skillsoftaspire_47_B,skillsoftaspire_47,Business & Leadership for Programming Python in Action
skillsoftaspire_5,SkillsoftAspire,Enterprise Development to DevOps Engineer
skillsoftaspire_51,SkillsoftAspire,Web App Vulnerability Analyst - 2022 Update
skillsoftaspire_51_C,skillsoftaspire_51,Productivity Tools for Web App Vulnerability Analyst
skillsoftaspire_6,SkillsoftAspire,Enterprise Development to Full Stack Developer
skillsoftaspire_62,SkillsoftAspire,Software Product Management Proficiency
skillsoftaspire_62_B,skillsoftaspire_62,Business & Leadership for Software Product Management
skillsoftaspire_63,SkillsoftAspire,Engineering Lead
skillsoftaspire_63_G,skillsoftaspire_63,Business & Leadership for Engineering Lead
skillsoftaspire_64,SkillsoftAspire,AI and ML for Decision-makers
skillsoftaspire_64_E,skillsoftaspire_64,Business & Leadership for AI and ML for Decision-makers
skillsoftaspire_7,SkillsoftAspire,Software Project Analyst to Senior Software Project Manager
skillsoftaspire_7_PM7,skillsoftaspire_7,Productivity Tools for senior Software Project Managers
skillsoftaspire_8,SkillsoftAspire,Security Analyst to Security Architect
skillsoftaspire_8_F,skillsoftaspire_8,Productivity Tools for Security Architects
skillsoftaspire_9,SkillsoftAspire,Programmer to Secure Agile Programmer
skillsoftaspire_9_F,skillsoftaspire_9,Productivity Tools for Secure Agile Programmers
skillsoftaspire_FSD_BL,skillsoftaspire_6,Business & Leadership for Enterprise Development to Full Stack Developers
skillsoftaspire_FSD_PT,skillsoftaspire_6,Productivity Tools for Full Stack Developer
skillsoftaspire_PT_DevOps,skillsoftaspire_5,Productivity Tools for DevOps Engineer
SkillsoftAspireLB,Skillsoft,Skillsoft Aspire L&B
skillsoftaspirelb_,SkillsoftAspireLB,Virtual Work in the New Normal
Skype2016,MicrosoftOffice2016,Skype 2016
Software,Technology,Software
Software_Architectures,Software_Craft,Software Architectures
Software_Craft,Percipio,Software Craft
Software_Craft,Topics,Software Craft
Software_Craftsmanship,Aspire_Journeys_for_Technology_&_Developer,Software Craftsmanship
Software_Dev_Practices,Software_Craft,Software Dev Practices
Software_Developer_Bootcamps,Skillsoft_Bootcamps,Software Developer Bootcamps
Software_Development,(ISC)2,Software Development
Software_Programmer_to_Secure_Programmer,Aspire_Journeys,Software Programmer to Secure Programmer
Software_Tester_to_DevOps_Automated_Tester,Aspire_Journeys,Software Tester to DevOps Automated Tester
Specialty,AWS,Specialty
Spreadsheet_Software,Software,Spreadsheet Software
Standard_Work,Topics,Standard Work
Standard_Work_-_Leader,Topics,Standard Work - Leader
StrategicThinking,StrayandIation,Strategic Thinking
StrayandIation,BusinessSkills1,Strategy and Innovation
Successful_Digital_Transformation,Skillsoft_Leadercamps,Successful Digital Transformation
Systems_Security,(ISC)2,Systems Security
T1,Topics,T1
TACTIS,Topics,TACTIS
Talent_Development_and_Transformation,Skillsoft_Leadercamps,Talent Development and Transformation
Team_Management,Management,Team Management
Teams,English,Teams
Technology,Open Sesame,Technology
Test_Channels,Engineering,Test Channels
Timeagemeivity1,Profionaleness,Time Management and Productivity
Topics,,Topics
TOSA_Desktop,Isograd,TOSA Desktop
TOSA_Digital,Isograd,TOSA Digital
Total_Productive_Maintenance,Topics,Total Productive Maintenance
TQM_(Total_Quality_Management),Topics,TQM (Total Quality Management)
Tranrtatiition,Envimentaiance,Transportation (Latin American Spanish Edition)
Tranrtatiition1,Envimentaiance,Transportation (US Edition)
Tranrtatiition10,Envimentaiance,Transportation (Italian Edition)
Tranrtatiition11,Envimentaiance,Transportation (Canadian Edition)
Tranrtatiition12,Envimentaiance,Transportation (Canadian French Edition)
Tranrtatiition2,Envimentaiance,Transportation (UK Edition)
Tranrtatiition3,Envimentaiance,Transportation (Chinese Edition)
Tranrtatiition4,Envimentaiance,Transportation (Portuguese Brazilian Edition)
Tranrtatiition5,Envimentaiance,Transportation (German Edition)
Tranrtatiition6,Envimentaiance,Transportation (Castilian Spanish Edition)
Tranrtatiition9,Envimentaiance,Transportation (Korean Edition)
Tranrtatition7,Envimentaiance,Transportation (Dutch Edition)
Tranrtatition8,Envimentaiance,Transportation (French Edition)
TWI_-_Job_Instruction,English,TWI - Job Instruction
TWI_-_Job_Instruction_for_Facilitators,English,TWI - Job Instruction for Facilitators
TWI_-_Job_Methods,English,TWI - Job Methods
TWI_-_Job_Relations,English,TWI - Job Relations
TWI_-_Job_Relations_for_Facilitators,English,TWI - Job Relations for Facilitators
TWI_for_Facilitators,Topics,TWI for Facilitators
TWI_for_Learners,Topics,TWI for Learners
Unconscious_Bias,"Diversity,_Equity,_&_Inclusion",Unconscious Bias
USFealGovition,LegalCompliance1,US Federal Government Compliance (US Edition)
Value_Stream,Topics,Value Stream
Virtual_Training,Skillsoft_Bootcamps,Virtual Training
Virtual_Work,Digital_Transformation,Virtual Work
Visual_Management,Topics,Visual Management
VMware,Certifications,VMware
VMware_Certified_Professional,VMware,VMware Certified Professional
"Volatile,_Uncertainty,_Complexity,_and_Ambiguity_",Skillsoft_Leadercamps,"Volatile, Uncertainty, Complexity, and Ambiguity"
Web_Development,Programming,Web Development
Web_Development,Technology,Web Development
Welcome_to_Percipio_,Percipio,Welcome to Percipio
Welcome_to_Percipio_,Topics,Welcome to Percipio
Well-Being,Professional_Improvement,Well-Being
Word,English,Word
WorkceComition,LegalCompliance1,Workplace Compliance Essentials (Brazilian Portuguese Edition)
WorkceComition1,LegalCompliance1,Workplace Compliance Essentials (Canadian French Edition)
WorkceComition10,LegalCompliance1,Workplace Compliance Essentials (Russian Edition)
WorkceComition12,LegalCompliance1,Workplace Compliance Essentials (UK English Edition)
WorkceComition13,LegalCompliance1,Workplace Compliance Essentials (US Edition)
WorkceComition14,LegalCompliance1,Workplace Compliance Essentials (Canadian Edition)
WorkceComition15,LegalCompliance1,Workplace Compliance Essentials (Castilian Spanish Edition)
WorkceComition16,LegalCompliance1,Workplace Compliance Essentials (Korean Edition)
WorkceComition17,LegalCompliance1,Workplace Compliance Essentials (Turkish Edition)
WorkceComition18,LegalCompliance1,Workplace Compliance Essentials (Czech Edition)
WorkceComition2,LegalCompliance1,Workplace Compliance Essentials (Chinese Edition)
WorkceComition20,LegalCompliance1,Workplace Compliance Essentials (Hindi Edition)
WorkceComition21,LegalCompliance1,Workplace Compliance Essentials (Australian Edition)
WorkceComition22,LegalCompliance1,Workplace Compliance Essentials (Bahasa Indonesian Edition)
WorkceComition23,LegalCompliance1,Workplace Compliance Essentials (Hungarian Edition)
WorkceComition24,LegalCompliance1,Workplace Compliance Essentials (Romanian Edition)
WorkceComition25,LegalCompliance1,Workplace Compliance Essentials (Thai Edition)
WorkceComition26,LegalCompliance1,Workplace Compliance Essentials (Swedish Edition)
WorkceComition27,LegalCompliance1,Workplace Compliance Essentials (Finnish Edition)
WorkceComition28,LegalCompliance1,Workplace Compliance Essentials (Bahasa Malay Edition)
WorkceComition29,LegalCompliance1,Workplace Compliance Essentials (Vietnamese Edition)
WorkceComition3,LegalCompliance1,Workplace Compliance Essentials (Dutch Edition)
WorkceComition30,LegalCompliance1,Workplace Compliance Essentials (Danish Edition)
WorkceComition32,LegalCompliance1,Workplace Compliance Essentials (Norwegian Edition)
WorkceComition33,LegalCompliance1,Workplace Compliance Essentials (New Zealand Edition)
WorkceComition34,LegalCompliance1,Workplace Compliance Essentials (Chinese Traditional Edition)
WorkceComition4,LegalCompliance1,Workplace Compliance Essentials (French Edition)
WorkceComition5,LegalCompliance1,Workplace Compliance Essentials (German Edition)
WorkceComition6,LegalCompliance1,Workplace Compliance Essentials (Italian Edition)
WorkceComition7,LegalCompliance1,Workplace Compliance Essentials (Japanese Edition)
WorkceComition8,LegalCompliance1,Workplace Compliance Essentials (Latin American Spanish Edition)
WorkceComition9,LegalCompliance1,Workplace Compliance Essentials (Polish Edition)
Working_and_Learning_Together_From_Home,Professional_Improvement,Working and Learning Together From Home
WorkingonaTeam1,Profionaleness,Working on a Team
WorkingRemotelyDuringaCrisis_a,BusinessContinuity,Working Remotely
WorkLifeBalance2,Profionaleness,Work-Life Balance
XML,Programming,XML
