Topic Code,Parent topic code,TopicName
Cybersecurity,CompTIA,Cybersecurity
Cybersecurity_Career_Journey,Percipio,Cybersecurity Career Journey
Cybersecurity_Career_Journey,Topics,Cybersecurity Career Journey
Data,Percipio,Data
Data,Topics,Data
Data/ML_Developer_to_AI_Developer,Aspire_Journeys,Data/ML Developer to AI Developer
Data_/_ML_/_AI,Aspire_Journeys_for_Technology_&_Developer,Data / ML / AI
Data_Analysis,Data_Management,Data Analysis
Data_Analytics,Data,Data Analytics
Data_and_Analytics,CompTIA,Data and Analytics
Data_Architectures,Data,Data Architectures
Data_Bootcamps,Skillsoft_Bootcamps,Data Bootcamps
Data_Core_Concepts,Data,Data Core Concepts
Data_Management,Technology,Data Management
Data_Platforms,Data,Data Platforms
Data_Science,Data,Data Science
Data_Science,Digital_Transformation,Data Science
Data_Security,Data,Data Security
Data_Visualization_&_Reporting,Data,Data Visualization & Reporting
Database_Development,Data,Database Development
Decision-makers_and_Leaders,Aspire_Journeys_for_Technology_&_Developer,Decision-makers and Leaders
Design,Productivity_&_Collaboration_Tools,Design
DesktopSkills,Skillsoft,Productivity & Collaboration Tools
Developer_Tools,Programming,Developer Tools
Developing,AWS,Developing
DevOps,Aspire_Journeys_for_Technology_&_Developer,DevOps
DevOps,Software_Craft,DevOps
DevOps_IT,Infrastructure_&_Operations,DevOps IT
dgtvc,DigitalTransformation,Virtual Collaboration
Digital_Experiences,Digital_Transformation,Digital Experiences
Digital_Marketing_&_Communications,Digital_Transformation,Digital Marketing & Communications
Digital_Marketing_Associate,Digital_Marketing_Institute,Digital Marketing Associate
Digital_Marketing_Institute,Certifications,Digital Marketing Institute
Digital_Soft_Skills_Competencies,Digital_Transformation,Digital Soft Skills Competencies
Digital_Transformation,Percipio,Digital Transformation
Digital_Transformation,Topics,Digital Transformation
DigitalTransformation,Collections,Digital Transformation
"Diversity,_Equity,_&_Inclusion",Percipio,"Diversity, Equity, & Inclusion"
"Diversity,_Equity,_&_Inclusion",Topics,"Diversity, Equity, & Inclusion"
"Diversity,_Equity,_and_Inclusion",Skillsoft_Leadercamps,"Diversity, Equity, and Inclusion"
"Diversity,_Equity_&_Inclusion","Diversity,_Equity,_&_Inclusion","Diversity, Equity & Inclusion"
Docusign,English,Docusign
dot_NET,Programming,dot NET
ds_ciwbmg18_1,CiscoWebEx,Cisco WebEx for Web
ds_ciwbtm18_1,CiscoTeams,Cisco WebEx Teams
ds_goohamt_1,googlehangoutsmeet,Google Hangouts Meet (No Assessments)
ds_gotome16_1,LogMeIn,LogMeIn GoToMeeting (No Assessments)
ds_joinme17_1,joinme_01,Join.me for Windows (No Assessments)
ds_msskb16,Skype2016,Skype for Business 2016 (No Assessments)
ds_msteam20,MicrosoftOffice365,Microsoft 365: Teams
EC-Council,Certifications,EC-Council
EHSImpacts,Envimentaiance,EHS Impacts (US Edition)
Electrical,Engineering,Electrical
Email,Software,Email
Emerging_Tech,Software_Craft,Emerging Tech
Energy,Engineering,Energy
Engineer_Resources,English,Engineer Resources
Engineering,Percipio,Engineering
Engineering,Topics,Engineering
Engineering_Resources,Engineering,Engineering Resources
English,5S,English
English,Accounting,English
English,Business,English
English,Computer_Skills,English
English,Core_Knowledge,English
English,Forms_&_Lists,English
English,Gemba,English
English,Hansei,English
English,Health_and_Wellness,English
English,Hoshin,English
English,Introductory_Topics,English
English,JDE,English
English,Just_In_Time,English
English,Kaizen,English
English,Kaizen_Leadership,English
English,Kanban,English
English,Leadership_&_Teamwork,English
English,Muda,English
English,Problem_Solving,English
English,Production_Preparation_Process,English
English,Quality,English
English,Quick_Changeover,English
English,Reference,English
English,Safety,English
English,Six_Sigma,English
English,Standard_Work,English
English,Standard_Work_-_Leader,English
English,Total_Productive_Maintenance,English
English,TWI_for_Facilitators,English
English,TWI_for_Learners,English
English,Value_Stream,English
English,Visual_Management,English
Entry,Cisco,Entry
Envimentaiance,Compliance,"Environmental, Health and Safety (EHS) Compliance"
Envimentaition1,Envimentaiance,Environmental (Latin American Spanish Edition)
Envimentaition3,Envimentaiance,Environmental (US Edition)
Envimentaition4,Envimentaiance,Environmental (Canadian Edition)
Envimentaition5,Envimentaiance,Environmental (Canadian French Edition)
Espanol,5S,Espanol
Espanol,Accounting,Espanol
Espanol,Business,Espanol
Espanol,Computer_Skills,Espanol
Espanol,Core_Knowledge,Espanol
Espanol,Forms_&_Lists,Espanol
Espanol,Gemba,Espanol
Espanol,Hansei,Espanol
Espanol,Health_and_Wellness,Espanol
Espanol,Hoshin,Espanol
Espanol,Introductory_Topics,Espanol
Espanol,Just_In_Time,Espanol
Espanol,Kaizen,Espanol
Espanol,Kaizen_Leadership,Espanol
Espanol,Kanban,Espanol
Espanol,Leadership_&_Teamwork,Espanol
Espanol,Muda,Espanol
Espanol,Problem_Solving,Espanol
Espanol,Production_Preparation_Process,Espanol
Espanol,Quality,Espanol
Espanol,Quick_Changeover,Espanol
Espanol,Reference,Espanol
Espanol,Safety,Espanol
Espanol,Six_Sigma,Espanol
Espanol,Standard_Work,Espanol
Espanol,Standard_Work_-_Leader,Espanol
Espanol,Total_Productive_Maintenance,Espanol
Espanol,TWI_for_Facilitators,Espanol
Espanol,TWI_for_Learners,Espanol
Espanol,Value_Stream,Espanol
Espanol,Visual_Management,Espanol
Essentials_of_Digital_Transformation,Digital_Transformation,Essentials of Digital Transformation
Excel,English,Excel
Expert,Oracle,Expert
Facilitator Reference Materials,Topics,Facilitator Reference Materials
Filehold,English,Filehold
Final_Presentation,SCP_Resources,Final Presentation
Finance,Business_Operations,Finance
Finance,Business_Skills,Finance
First_Time_Manager_Career_Journey,Topics,First Time Manager Career Journey
FoodAlcoholSafety,Compliance,Food and Alcohol Safety
FoodAlcoholSafetyES,FoodAlcoholSafety,Food and Alcohol Safety (Latin American Spanish Edition)
FoodAlcoholSafetyUK,FoodAlcoholSafety,Food and Alcohol Safety (UK Edition)
FoodAlcoholSafetyUS,FoodAlcoholSafety,Food and Alcohol Safety (US Edition)
Forms_&_Lists,Topics,Forms & Lists
Foundation,International_Software_Testing_Qualification_Board,Foundation
Foundation,ITIL®,Foundation
Foundation,PRINCE2®,Foundation
French_Canadian,Safety,French Canadian
Gemba,Topics,Gemba
Get_Started,_First_Time_Manager_Career_Journey,Get Started
Get_Started,First_Time_Manager_Career_Journey,Get Started
Getting_Started_with_Percipio,Welcome_to_Percipio_,Getting Started with Percipio
Google,Certifications,Google
Google,DesktopSkills,Google
googlehangoutsmeet,gsuite,Google Hangouts Meet
gsuite,Google,Google Workspace
Hansei,Topics,Hansei
HaraentAuition,LegalCompliance1,Harassment (Australian Edition)
HaraentBAIition,LegalCompliance1,Harassment (Bahasa Indonesian Edition)
HaraentBaition,LegalCompliance1,Harassment (Bahasa Malay Edition)
HaraentBrition,LegalCompliance1,Harassment (Brazilian Portuguese Edition)
HaraentCaition,LegalCompliance1,Harassment (Canadian Edition)
HaraentCaition1,LegalCompliance1,Harassment (Canadian French Edition)
HaraentChition,LegalCompliance1,Harassment (Chinese Edition)
HaraentCzition,LegalCompliance1,Harassment (Czech Edition)
HaraentDaition,LegalCompliance1,Harassment (Danish Edition)
HaraentDution,LegalCompliance1,Harassment (Dutch Edition)
HaraentFiition,LegalCompliance1,Harassment (Finnish Edition)
HaraentFrition,LegalCompliance1,Harassment (French Edition)
HaraentGeition,LegalCompliance1,Harassment (German Edition)
HaraentHiition,LegalCompliance1,Harassment (Hindi Edition)
HaraentHunition,LegalCompliance1,Harassment (Hungarian Edition)
HaraentIntion,LegalCompliance1,Harassment (Indian Edition)
HaraentItion,LegalCompliance1,Harassment (Italian Edition)
HaraentJaiition,LegalCompliance1,Harassment (Japanese Edition)
HaraentKoition,LegalCompliance1,Harassment (Korean Edition)
HaraentLaition,LegalCompliance1,Harassment (Latin American Spanish Edition)
HaraentNorition,LegalCompliance1,Harassment (Norwegian Edition)
HaraentNZition,LegalCompliance1,Harassment (New Zealand Edition)
HaraentPoition,LegalCompliance1,Harassment (Polish Edition)
HaraentRoition,LegalCompliance1,Harassment (Romanian Edition)
HaraentRuition,LegalCompliance1,Harassment (Russian Edition)
HaraentSpCaition,LegalCompliance1,Harassment (Castilian Spanish Edition)
HaraentSweition,LegalCompliance1,Harassment (Swedish Edition)
HaraentThaition,LegalCompliance1,Harassment (Thai Edition)
HaraentTuition,LegalCompliance1,Harassment (Turkish Edition)
