JOB_CODE,JOB_NAME,created By EmployeeID,JOB_DESC
IMX000155,ISO/TSIATF SUPERVISOR,DefaultAdmin,
IMX000156,Líder de Costura,DefaultAdmin,
IMX000157,Líder de embarque,DefaultAdmin,
IMX000158,Líder de Embarques,DefaultAdmin,
IMX000159,Líder de Engrapado,DefaultAdmin,
IMX000160,Líder de Ensamble,DefaultAdmin,
IMX000161,Líder de equipo de empuje,DefaultAdmin,
IMX000162,Líder de inyección,DefaultAdmin,
IMX000163,Líder de Pintura,DefaultAdmin,
IMX000164,Líder de Recibo,DefaultAdmin,
IMX000165,Líder de Registro,DefaultAdmin,
IMX000166,Líder de Tacoma Transfer,DefaultAdmin,
IMX000168,Metrólogo,DefaultAdmin,
IMX000169,Operador de Administración de la Producción,DefaultAdmin,
IMX000170,Operador de Calidad,DefaultAdmin,
IMX000171,Operador de Corte,DefaultAdmin,
IMX000172,Operador de Costura,DefaultAdmin,
IMX000173,Operador de Engrapado,DefaultAdmin,
IMX000174,Operador de Ensamble,DefaultAdmin,
IMX000175,Operador de Filler Pipe,DefaultAdmin,
IMX000176,Operador de Garnizh Console,DefaultAdmin,
IMX000177,Operador de Inyección,DefaultAdmin,
IMX000178,Operador de J59W,DefaultAdmin,
IMX000179,Operador de Kaizen,DefaultAdmin,
IMX000180,Operador de Mantenimiento y mejora,DefaultAdmin,
IMX000181,Operador de Maquinas y Herramientas,DefaultAdmin,
IMX000182,Operador de Pintura,DefaultAdmin,
IMX000183,Operador de Pipe (Rework),DefaultAdmin,
IMX000184,Operador de Platinado,DefaultAdmin,
IMX000185,Operador de Refacciones,DefaultAdmin,
IMX000186,Operador de Registro,DefaultAdmin,
IMX000187,Operador de Tacoma Transfer,DefaultAdmin,
IMX000188,Operador de TPS,DefaultAdmin,
IMX000189,Operador de Vacuum forming,DefaultAdmin,
IMX000190,Operador Líder de Administración de la producción,DefaultAdmin,
IMX000191,Operador Líder de Calidad,DefaultAdmin,
IMX000192,Operador Líder de Costura,DefaultAdmin,This Job is for Operador Líder de Costura Users only
IMX000193,Operador Líder de Engrapado,DefaultAdmin,
IMX000194,Operador Líder de Ensamble,DefaultAdmin,
IMX000195,Operador Líder de Filler Pipe,DefaultAdmin,
IMX000196,Operador Líder de Inyección,DefaultAdmin,
IMX000197,Operador Líder de Mantenimiento y Mejora,DefaultAdmin,
IMX000198,Operador Líder de Pintura,DefaultAdmin,
IMX000199,Operador Líder de Pipe (Rework),DefaultAdmin,
IMX000200,Operador Líder de Platinado,DefaultAdmin,
IMX000201,Operador Líder de Registro,DefaultAdmin,
IMX000202,Operador Líder de TPS,DefaultAdmin,
IMX000203,Operador Líder de Vacuum forming,DefaultAdmin,
IMX000204,Reclutador,DefaultAdmin,
IMX000205,Residente de Control de Calidad,DefaultAdmin,
IMX000206,Supervisor de Administración de la Producción,DefaultAdmin,
IMX000207,Supervisor de Costura,DefaultAdmin,
IMX000208,Supervisor de Engrapado,DefaultAdmin,
IMX000209,Supervisor de Ensamble,DefaultAdmin,
IMX000210,Supervisor de Filler pipe,DefaultAdmin,
IMX000211,Supervisor de Inyección,DefaultAdmin,
IMX000212,Supervisor de Pintura,DefaultAdmin,
IMX000213,Supervisor de Platinado,DefaultAdmin,
IMX000214,Supervisor de Registro,DefaultAdmin,
IMX000215,Supervisor de Tacoma Transfer,DefaultAdmin,
IMX000216,Supervisor de Vacuum forming,DefaultAdmin,
IMX000217,Team líder de capacitación,DefaultAdmin,
IMX000218,Team Líder de Embarques,DefaultAdmin,
IMX000219,Tecnico de calidad,DefaultAdmin,
IMX000220,Técnico de Calidad,DefaultAdmin,
IMX000221,Tecnico de EHS,DefaultAdmin,
IMX000222,Técnico de Engrapado,DefaultAdmin,
IMX000223,Técnico de Herramientas,DefaultAdmin,
IMX000224,Técnico de Inyección,DefaultAdmin,
IMX000225,Técnico de Mantenimiento,DefaultAdmin,
IMX000226,Técnico de Mantenimiento Costura,DefaultAdmin,
IMX000227,Técnico de Mantenimiento de Costura,DefaultAdmin,
IMX000229,Técnico de Máquinas y Herramientas (Tooling),DefaultAdmin,
IMX000230,Técnico de Pintura,DefaultAdmin,
IMX000231,Tecnico de procesos,DefaultAdmin,
IMX000232,Técnico de Procesos de inyección,DefaultAdmin,
IMX000233,Técnico de registro,DefaultAdmin,
IMX000234,Técnico de Tecnologías de la información,DefaultAdmin,
IMX000235,Técnico de TPS,DefaultAdmin,
IMX000236,Técnico en Ingenieria Equipamiento Y Mantenimiento,DefaultAdmin,
IMX000237,Técnico senior de Inyección,DefaultAdmin,
IMX000238,Tesorero,DefaultAdmin,
IMX000239,Tranductor Ingles Japones,DefaultAdmin,
IMX000240,Tugger Leader/ Prod Planner de Administración de la producción,DefaultAdmin,
IMX000241,Asistente de Sistema,DefaultAdmin,This Job is for Asistente de Sistema Users only
IMX000242,Gerente de Pintura,DefaultAdmin,This Job is for Gerente de Pintura Users only
IMX000243,Gerente de Platinado,DefaultAdmin,
IMX000244,Gerente de TPS,DefaultAdmin,This Job is for Gerente de TPS Users only
IMX000245,Ingeniero Senior de Platinado,DefaultAdmin,This Job is for Ingeniero Senior de Platinado Users only
IMX000246,Ingeniero Senior de Procesos de Pintura,DefaultAdmin,This Job is for Ingeniero Senior de Procesos de Pintura Users only
IMX000247,Ingeniero Senior de Proyectos,DefaultAdmin,This Job is for Ingeniero Senior de Proyectos Users only
IMX000248,Líder de Administración de la Producción,DefaultAdmin,This Job is for Líder de Administración de la Producción Users only
IMX000249,Líder de Platinado,DefaultAdmin,This Job is for Líder de Platinado Users only
IMX000250,Técnico de Mantenimiento de Pintura,DefaultAdmin,This Job is for Técnico de Mantenimiento de Pintura Users only
IMX000251,Líder de vacuum forming,DefaultAdmin,This Job is for Líder de vacuum forming Users only
IMX000252,Operador de 2S1F,DefaultAdmin,This Job is for Operador de 2S1F Users only
IMX000253,Técnico de EHS,DefaultAdmin,This Job is for Técnico de EHS Users only
IMX000254,Técnico de procesos,DefaultAdmin,This Job is for Técnico de procesos Users only
IMX000261,Asistente de Reclutamiento,DefaultAdmin,This Job is for Asistente de Reclutamiento Users only
IMX000262,Contador Ciclico,DefaultAdmin,This Job is for Contador Ciclico Users only
IMX000263,Asistente de Administración de la Prducción,DefaultAdmin,This Job is for Asistente de Administración de la Prducción Users only
IMX000267,Gerente Asistente de Administración de la Producción,DefaultAdmin,This Job is for Gerente Asistente de Administración de la Producción Users only
IMX000268,Operador de Inyeccion,DefaultAdmin,This Job is for Operador de Inyeccion Users only
IMX000270,Asistente de Administración de la Producción,DefaultAdmin,This Job is for Asistente de Administración de la Producción Users only
IMX000271,Supervisor de Recursos Humanos,DefaultAdmin,This Job is for Supervisor de Recursos Humanos Users only
IMX000274,Ingeniero de Procesos de PA,DefaultAdmin,This Job is for Ingeniero de Procesos de PA Users only
IMX000295,Operación de inyeccion,DefaultAdmin,This Job is for Operación de inyeccion Users only
IMX000297,Gerente General Asistente de Calidad & PPCC,DefaultAdmin,This Job is for Gerente General Asistente de Calidad & PPCC Users only
IMX000298,Gerente General Asistente de Finanzas y Recursos Humanos,DefaultAdmin,This Job is for Gerente General Asistente de Finanzas y Recursos Humanos Users only
IMX000299,Gerente General Asistente de Producción,DefaultAdmin,This Job is for Gerente General Asistente de Producción Users only
IMX000300,Gerente General Asistente de TPS e ingenieria,DefaultAdmin,This Job is for Gerente General Asistente de TPS e ingenieria Users only
IMX000302,Supervisor de Costura y Engrapado,DefaultAdmin,This Job is for Supervisor de Costura y Engrapado Users only
IMX000303,Técnico de Filler Pipe,DefaultAdmin,This Job is for Técnico de Filler Pipe Users only
IMX000304,Asesor Senior de Mantenimiento y Herramientas,DefaultAdmin,This Job is for Asesor Senior de Mantenimiento y Herramientas Users only
IMX000306,Asistente de capacitación,DefaultAdmin,This Job is for Asistente de capacitación Users only
IMX000307,Assistente de Clima Laboral,DefaultAdmin,This Job is for Assistente de Clima Laboral Users only
IMX000308,Especialista de Clima Laboral,DefaultAdmin,This Job is for Especialista de Clima Laboral Users only
IMX000309,Especialista de Control de Producción,DefaultAdmin,This Job is for Especialista de Control de Producción Users only
IMX000310,Gerente Asistente de IMS,DefaultAdmin,This Job is for Gerente Asistente de IMS Users only
IMX000311,Gerente de Inyección,DefaultAdmin,This Job is for Gerente de Inyección Users only
