ActivityCode,ActivityName,ActivityType,Provider,Active,Language,EstimatedDuration,EstimatedCredits,ActivityDescription,Topic,LaunchURL
Percipio_90753832-891f-4e0b-9172-d24712cadcc1,PMP ATP - May/June/July UK and APAC Cohort: Live Session 6,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on June 29th at 9 AM BST/6 PM AEST.,Data/ML Developer to AI Developer,https://google.com
Percipio_90c8d7fe-e97c-47b1-8d72-da115d1ac6b6,Introduction to Tableau Bootcamp: Live Session 1,Document,Online Content,0,en-us,10800,,Click here to register for the Tableau Bootcamp live session on December 14th from 11 AM - 2:00 PM EDT.,Collections,https://google.com
Percipio_9360685d-1c46-4c59-926a-744e4db8f28a,Scrum Team Member to Scrum Master (2022 Update),Document,Online Content,1,en-us,,,"Every organization is looking to transform towards a more Agile mindset. As a result, there is an increasing demand for Senior Software Project Managers with relevant training and experience in Agile methodologies relating to software development. In this Skillsoft Aspire journey, you will explore how to go from a Scrum Team Member to Scrum Master.",Cloud Computing,https://google.com
Percipio_93799e91-a07c-4540-9934-ef4bab8bb3ff,Serving Students with Disabilities During the COVID-19 Crisis,Document,Online Content,1,en-us,,,"The outbreak of COVID-19 launched the United States into a public health crisis, impacting families, schools, and communities in unprecendented ways.  To get through this, we'll have to be creative and innovative.  We'll need to work together and help each other. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Cybersecurity Career Journey,https://google.com
Percipio_978d454e-2661-4e66-83fa-cc7a20055e6a,The What's Next Handbook for Managers,Document,Online Content,0,en-us,,,"As we slowly emerge from the global pandemic, many are struggling to imagine what business will look like. Now's the time to think about redesigning workspaces, reviewing and rewriting policies, and reengaging with your workforce. Use this handbook to help guide your decision-making as you prepare to reopen your workplace in the post-pandemic world. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Computer Skills,https://google.com
Percipio_97e852e4-610a-4ef6-a4cf-d67f23703494,Use and Configuring RSS link,Document,Online Content,1,en-us,,,"In this course you will learn how you can use Feedly to discover and follow quality, trusted sources that give you deeper insights into the changes happening in your world. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Business Continuity,https://google.com
Percipio_98c73c26-b8f9-41a5-9546-c857583a01ff,"Global Perspectives on Race, Ethnicity, and Equity: France and Denmark",Document,Online Content,0,en-us,5400,,"LIVE on September 14, 2021 How is your organization addressing hot topic issues like social justice in a global context? During this Leadercamp, Aperian Global's DEI and Inclusive Leadership Practitioners will address race, ethnicity and equity in a cross-border context. The session will provide workable entry-points for advancing the inclusion and equity dialogue outside of your home country, with a closer look at DEI factors in France and Denmark. You will leave the session with a heightened appreciation for culture-bound nuances of DEI work as well as ideas for: • Inviting and integrating new perspectives to address marginalization • Balancing corporate values and initiatives with local realities • Using a multi-layered approach to enable employees to better understand each other and work together more effectively",Business Operations,https://google.com
Percipio_99193a9d-2605-465b-b6f3-9551d67b2c75,Getting started with Google Maps,Document,Online Content,1,en-us,,,"In this course you will discover how to use Google Maps on your computer, phone, or tablet to search, explore, and find your way around the world. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Cloud,https://google.com
Percipio_997bae07-9cd7-4c39-8514-2d30d1397cdb,PMP ATP -January/February/March UK and APAC Cohort: Live Session 5,Document,Online Content,0,en-us,14400,,Click here to register for the Live session on February 15th at 9 AM GMT/7 PM AEST.,Cloud Security,https://google.com
Percipio_9a803e12-9705-40c0-b12f-f917762120e6,PMP ATP - September/October/November UK and APAC Cohort: Live Session 2,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on October 5th at 9 AM BST/6 PM AEST.,Client & Server Administration,https://google.com
Percipio_9d1ce3a1-9c53-451f-8f04-ba5f775761c6,PMP ATP - July/August/September UK and APAC Cohort: Live Session 3,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on August 10th at 9 AM BST/6 PM AEST.,Codecademy Subjects,https://google.com
Percipio_9dc8ca95-7454-49b3-8f4e-3585de1aed0f,Scrum Team Member to Scaled Agile Leader (2022 Update),Document,Online Content,1,en-us,,,"Every organization is looking to transform towards a more Agile mindset. As a result, there is an increasing demand for Senior Software Project Managers with relevant training and experience in Agile methodologies relating to software development. In this Skillsoft Aspire journey, you will explore how to go from a Scrum Team Member to Scaled Agile Leader.",Core,https://google.com
Percipio_a13b5701-1f0d-492d-9dbf-87e5a0968eaf,PMP ATP - May/June/July UK and APAC Cohort: Live Session 8,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on July 13th at 9 AM BST/6 PM AEST.,Crisis Management,https://google.com
Percipio_a219f5cf-bce5-41ce-a53d-e60d79830e1a,PMP ATP - May/June/July UK and APAC Cohort: Live Session 5,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on June 22nd at 9 AM BST/6 PM AEST.,CompTIA,https://google.com
