ActivityCode,ActivityName,ActivityType,Provider,Active,Language,EstimatedDuration,EstimatedCredits,ActivityDescription,Topic,LaunchURL
1.4GB,1.4GB MP4 UPLOAD TEST,Document,Online Content,1,,,,,Cisco WebEx,https://google.com
Any,NewActivity__20231129,Document,Online Content,1,,,,,Customer Service,https://google.com
Compliance_ Bribery Guidelines,Bribery Guidelines,Document,Online Content,1,en-us,900,," Guidelines for maintaining a transparent, healthy, and fair relationship with the government, public offices, and political parties (No Recertification) This training complies with JSOX standards.",Data Analytics,https://google.com
Compliance_Acuerdo de Conducta Comercial (Business Conduct Agreement),Acuerdo de Conducta Comercial,Document,Online Content,1,en-us,900,,"Acuerdo de que cumplirá con la ética empresarial, las políticas y los procedimientos de AGG.",Cloud Services,https://google.com
Compliance_Antitrust Compliance Oath,Antitrust Compliance Oath,Document,Online Content,1,en-us,300,, Acknowledgement to comply with Toyoda Gosei Group Charter for Business Ethics and Business Conduct Agreement (1-year Recertification) This training complies with JSOX standards.,Collaboration,https://google.com
Compliance_Antitrust Compliance Oath (Spanish),Antitrust Compliance Oath (Spanish),Document,Online Content,1,en-us,300,,Acknowledgement to comply with Toyoda Gosei Group Charter for Business Ethics and Business Conduct Agreement (1-year Recertification) This training complies with JSOX standards.,Skills for Effective Collaboration,https://google.com
Compliance_Bulk Acid Delivery & Unloading (EWI 4.7.65),Bulk Acid Delivery & Unloading (EWI 4.7.65),Document,Online Content,1,en-us,900,," Work Instruction for the delivery and unloading of hydrochloric / sulfuric acid (1-year Recertification) This training complies with MDNR's Risk Management Plan. -- Note: when document appears, move the mouse toward the top of the screen, then click the plus sign repeatedly to enlarge the image",Communications Skills,https://google.com
Compliance_Business Conduct Agreement,Business Conduct Agreement,Document,Online Content,1,,300,,"Agreement that you will comply with AGG's business ethics, policies, and procedures.",Business Operations,https://google.com
Compliance_Chrome PPE Procedure,Chrome PPE Procedure,Document,Online Content,1,en-us,900,,"Procedure for wearing proper personal protective equipment (PPE) in Chrome Dept. 6218, properly maintaining your PPE, and disposing of worn out or damaged PPE (No Recertification) -- Note: when document appears, move the mouse toward the top of the screen, then click the plus sign repeatedly to enlarge the image",Communication Essentials,https://google.com
Compliance_Container Management (EWI 4.6.40),Container Management (EWI 4.6.40),Document,Online Content,1,en-us,900,,Container Management Work Instruction (No Recertification) This training complies with ISO standard 1910.1200.,Cisco,https://google.com
"Compliance_Contractor, Vendor, Visitor Work Instruction","Contractor, Vendor, Visitor Work Instruction",Document,Online Content,1,en-us,900,," Procedure for communicating safety, security and confidentiality to Contractors, Vendors and Visitors (1-year Recertification) This training complies with ISO standards.",Browsers & Operating Systems,https://google.com
Compliance_Declaración de confidencialidad (Statement of Confidentiality),Declaración de confidencialidad,Document,Online Content,1,,600,,Resumen de las reglas y políticas de confidencialidad que debe seguir en todo momento (Sin Recertificación).,Cloud Career Journey,https://google.com
Compliance_Declaración de confidencialidad (Statement of Confidentiality),Declaración de confidencialidad,Document,Online Content,1,en-us,,,,Cloud Career Journey,https://google.com
Compliance_Emergency Response Notification Procedure (ERD 4.7.01),Emergency Response Notification Procedure (ERD 4.7.01),Document,Online Content,1,en-us,900,,Procedure for notifying Emergency Coordinators in the event of a AGGMO emergency (No Recertification) This training complies with OSHA standard 1910.38.,Business Skills,https://google.com
Compliance_Employee FMLA Rights,Employee FMLA Rights,Document,Online Content,0,en-us,900,,"Know your rights under the Family Medical Leave Act (FMLA). By clicking 'OK' you verify that you have received and understand your Employee FMLA Rights, and that if you have any further questions regarding your rights you may contact AGG Human Resources.",Cal/OSHA,https://google.com
Compliance_Employee FMLA Rights,Employee FMLA Rights,Document,Online Content,1,en-us,900,,"Know your rights under the Family Medical Leave Act (FMLA). By clicking 'OK' you verify that you have received and understand your Employee FMLA Rights, and that if you have any further questions regarding your rights you may contact AGG Human Resources.",Cal/OSHA,https://google.com
Compliance_FORKLIFT Skills Test (MINTO),Forklift Operating Skills Test (Minto),Document,Online Content,1,,1800,,Contact an instructor to schedule a time to complete your Operating Skills Test. The instructor will send a copy of the skillst test to your local AGGU representative for assessment in the LMS.,Certifications,https://google.com
Compliance_GuÃ­as a nivel mundial para evitar el soborno (Bribery Guidelines),GuÃ­as a nivel mundial para evitar el soborno,Document,Online Content,1,en-us,,,,Choose a Learning Journey that Fits my Goal,https://google.com
Compliance_Guías a nivel mundial para evitar el soborno (Bribery Guidelines),Guías a nivel mundial para evitar el soborno,Document,Online Content,1,,900,,"Lineamientos para mantener una relación transparente, saludable y justa con el gobierno, las oficinas públicas y los partidos políticos (Sin Recertificación) Esta capacitación cumple con los estándares JSOX.",Business,https://google.com
Compliance_Hazardous Waste Labeling (EWI 4.6.31),"Hazardous Waste Labeling, Transfer and Storage (EWI 4.6.31)",Document,Online Content,1,en-us,900,,"Work Instruction for proper identification, labeling, and storage of hazardous chemicals (1-year Recertification) This training complies with ISO standard 40 CSR 25-5-262. -- Note: when document appears, move the mouse toward the top of the screen, then click the plus sign repeatedly to enlarge the image",Cisco Teams,https://google.com
Compliance_Hazardous Waste Storage (EWI 4.6.32),Hazardous Waste Storage Tank (EWI 4.6.32),Document,Online Content,1,en-us,900,,"Procedure for proper removal of any waste from hazardous waste storage tank secondary containment (2-year Recertification & annual SOS) This training complies with ISO standard 40 CSR 25-5-262. -- Note: when document appears, move the mouse toward the top of the screen, then click the plus sign repeatedly to enlarge the image",Customer Service: Core Concepts & Methods,https://google.com
Compliance_Hepatitis B Vaccination Awareness for First Aid,Hepatitis B Vaccination Awareness (First Aid Requirement),Document,Online Content,1,,60,,Know who to contact if you wish to receive the Hepatitis B vaccination. This offer complies with OSHA guidelines. Annual review of this document is required.,Managing a Crisis,https://google.com
Compliance_Legal Compliance (2017),Legal Compliance (2017),Document,Online Content,0,,1800,," Know your role and responsibilities, as a leader at Toyoda Gosei, to uphold rules and policies related to corporate and social responsibility, compliance, and third-party involvement (Annual Recertification) This training complies with AGGNA standards.",Customer Success,https://google.com
Compliance_Legal Compliance (2018),Legal Compliance (2018),Document,Online Content,0,,,," Know your role and responsibilities, as a leader at Toyoda Gosei, to uphold rules and policies related to corporate and social responsibility, compliance, and third-party involvement (Annual Recertification) This training complies with AGGNA standards.",Core Knowledge,https://google.com
Compliance_Material Handling,Material Handling (Hazmat) Procedure,Document,Online Content,1,en-us,900,, Rules for receiving and handling hazardous materials (1-year Recertification) This training complies with EPA standard CFR 172.700.,Collaboration Tools,https://google.com
Compliance_Orientation eSign,Orientation eSign,Document,Online Content,1,en-us,300,,"Verify that you have attended new-hire orientation, have been informed of the Company's policies and procedures, and provide your electronic signature.",Cloud Security,https://google.com
Compliance_Orientation Policies & Procedures,Orientation Policies & Procedures,Document,Online Content,1,,900,,"This document provides a link to the AGG Intranet where you can access AGG Policies and Procedures. HR Policies & Procedures and general safety guidelines will be covered in Orientation. Safety Policies & Procedures will be assigned to you based on your job title, department, and/or specific job responsibilities.",Data/ML Developer to AI Developer,https://google.com
Compliance_Orientation_Attendance Confirmation,Orientation Attendance Confirmation (E-Sign),Document,Online Content,1,,300,,"Verify that you have attended new-hire orientation, have been informed of the Company's policies and procedures, and provide your electronic signature.",Collections,https://google.com
Compliance_Orientation_Photo Release Waiver,Photo Release Waiver (E-Sign),Document,Online Content,1,,300,,"This document verifies that you agree to willingly provide photographs, video, audio, written documents, quotes, images, etc. to AGG for their use.",Cloud Computing,https://google.com
Compliance_Photo Release Waiver,Orientation Photo Release Waiver,Document,Online Content,1,en-us,300,,"This document verifies that you agree to willingly provide photographs, video, audio, written documents, quotes, images, etc. to AGG for their use.",Cybersecurity Career Journey,https://google.com
Compliance_Process Implementation & Changes (ERD 4.2.01),Process Implementation & Changes (ERD 4.2.01),Document,Online Content,1,en-us,900,,Environmental protection guidelines for permits and changes made to regulated processes (No recertification) This training complies with ISO standard ISO 14001.,Computer Skills,https://google.com
Compliance_Production Mold Change Safety Procedure,Production Mold Change Safety Procedure,Document,Online Content,0,,900,,Safety instructions for mold changes and mold cleaning (1-year Recertification),Business Continuity,https://google.com
Compliance_Production Mold Change Safety Procedure 2,Production Mold Change Safety Procedure,Document,Online Content,1,en-us,600,,Safety instructions for mold changes and mold cleaning (No Recertification) This training complies with safety standards.,Business Operations,https://google.com
Compliance_Regulated Medical Waste Packaging,Regulated Medical Waste Packaging,Document,Online Content,1,en-us,600,, Properly dispose of medical waste (1-yr Recertification). This training complies with DOT standard 49 CFR 171-180.,Cloud,https://google.com
Compliance_Scrubber Evacuation & Chrome PPE (Dept 4627),Scrubber Evacuation & PPE for Chrome Dept 4627,Document,Online Content,0,,900,,Safe evacuation plan for Department 6218 (No Recertification),Cloud Security,https://google.com
Compliance_Scrubber Evacuation Plan (Dept. 6218),Scrubber Evacuation Plan (Dept. 6218),Document,Online Content,1,en-us,900,,"Know what to do and where to go if the Chrome Scrubber system goes down (No Recertification) This training complies with OSHA standard 1910.38. -- Note: when document appears, move the mouse toward the top of the screen, then click the plus sign repeatedly to enlarge the image",Client & Server Administration,https://google.com
Compliance_Statement of Confidentiality,Statement of Confidentiality,Document,Online Content,1,en-us,300,,Summary of confidentiality rules and policies which you must follow at all times (No Recertification). This training complies with JSOX requirements.,Codecademy Subjects,https://google.com
Compliance_Static Grounding Standards (2),Paint Static Grounding Training,Document,Online Content,1,en-us,900,,Prevent fires from static electricity by properly grounding metal parts (1-year Recertification). This training complies with OSHA standard NFPA 77.,Core,https://google.com
Compliance_Static Grounding Standards (6 month recert),Paint Static Grounding Training,Document,Online Content,1,,900,,Prevent fires from static electricity by properly grounding metal parts (6-month Recertification). This training complies with OSHA standard NFPA 77.,Crisis Management,https://google.com
Compliance_Storm Water Management & Spill Prevention (AGGFS),Storm Water Management & Spill Prevention (AGGFS),Document,Online Content,1,,900,,AGGFS control and countermeasures plan for preventing storm water pollution and spills (1-year Recertification).,CompTIA,https://google.com
Compliance_Storm Water Management & Spill Prevention (AGGKY),Storm Water Management & Spill Prevention (AGGKY),Document,Online Content,1,,900,,AGGKY control and countermeasures plan for preventing storm water pollution and spills (1-year Recertification).,Concur,https://google.com
Compliance_Storm Water Management & Spill Prevention (AGGMO),Storm Water Management & Spill Prevention (AGGMO),Document,Online Content,1,en-us,900,,AGG Missouri control and countermeasures plan for preventing storm water pollution and spills (1-year Recertification) This training complies with MDNR standard 10 CSR-20.6.200 / 40 CFR 112.7(f); IDEM standard 327 IAC 15-6; MDEQ standard 40 CFR 112.7(f).,C#,https://google.com
Compliance_Storm Water Management & Spill Prevention (AGGMS),Storm Water Management & Spill Prevention (AGGMS),Document,Online Content,1,en-us,900,,AGG Mississippi control and countermeasures plan for preventing storm water pollution and spills (1-year Recertification) This training complies with MDNR standard 10 CSR-20.6.200 / 40 CFR 112.7(f); IDEM standard 327 IAC 15-6; MDEQ standard 40 CFR 112.7(f).,Civil,https://google.com
Compliance_Storm Water Management & Spill Prevention (AGGNAI),Storm Water Management & Spill Prevention (AGGNAI),Document,Online Content,1,en-us,900,,AGG Indiana control and countermeasures plan for preventing storm water pollution and spills (1-year Recertification) This training complies with MDNR standard 10 CSR-20.6.200 / 40 CFR 112.7(f); IDEM standard 327 IAC 15-6; MDEQ standard 40 CFR 112.7(f).,Corporate Marketing,https://google.com
Compliance_AGGMO DOT Hazardous Materials Security Plan (E8.2.0.5),AGGMO DOT Hazardous Materials Security Plan (E8.2.0.5),Document,Online Content,1,en-us,900,, [Read & sign. August/Annual]: Compliance Activity for Guardhouse TM's. Security Requirements. This training complies with DOT standard 49 CFR 172.8.,Business Execution,https://google.com
Compliance_Triple Rinse Procedure (Dept. 6218),Triple Rinse Procedure (Dept. 6218),Document,Online Content,1,en-us,300,,"Procedure for cleaning chemical drums for recycling, and requirements for personal protective equipment (PPE) during the cleaning cycle (No Recertification) This training complies with RCRA standard 40 CFR 261.7(b)(3). -- Note: when document appears, move the mouse toward the top of the screen, then click the plus sign repeatedly to enlarge the image",Cloud Career Journey,https://google.com
Compliance_Waste Water Treatment Systems (WWTS) Operator Training,Waste Water Treatment Systems (WWTS) Operator Training,Document,Online Content,1,en-us,,," This training spans approximately 3 months, and is for the purpose of properly operating and maintaining waste water treatment equipment; know procedures for record keeping and resolving abnormalities (No Recertification) This training complies with the local waste water treatment slug plan.",Browse Partner Content,https://google.com
Computer_Filehold (AGGNA test file),Filehold,Document,Online Content,1,,,,"Checking In, Checking Out, and Linking Documents",Cloud,https://google.com
Computer_Internet Security Awareness Training,Internet Security Awareness Training,Document,Online Content,1,,1800,, Internet Security Awareness Training PP,Communication,https://google.com
Conversion Hire Tracking,Conversion Hire Tracking,Document,Online Content,1,en-us,,,A course for tracking conversion hires.,Core,https://google.com
Conversion Hire Tracking (ASK),Conversion Hire Tracking,Document,Online Content,1,en-us,,,A course for tracking conversion hires.,Business Skills,https://google.com
documento_Libro de Casos Sobre Cumplimiento (Case Book on Compliance),Libro de Casos Sobre Cumplimiento,Document,Online Content,1,,900,,,Cybersecurity,https://google.com
Knowledge_Microsoft Teams Quickstart Guide,Microsoft Teams Quickstart Guide,Document,Online Content,1,,,,A quickstart guide for using Microsoft Teams.,Compliance,https://google.com
Leadership_Program Guidelines (SCP),Supervisor Certification Program Guidelines (Will be Completed During Program),Document,Online Content,0,,900,,Certification guidelines and requirements.,Coordinators,https://google.com
Leadership_SCP Guidelines,Supervisor Cert - Guidelines,Document,Online Content,1,,,,Supervisor Certification Guidelines and Requirements.,Business Intelligence,https://google.com
Leadership_SEMO Leadership Program Letter of Intent,SEMO Leadership Program Letter of Intent,Document,Online Content,1,,,,,Virtual Teams,https://google.com
Library_7 QC Tools Guide,7 QC Tools Guide - Tips and Strategies,Document,Online Content,1,,900,,This guide has tips and strategies for using the seven tools of quality control.,Customer Service,https://google.com
Library_ADP Self Evaluation Video Tutorial,ADP Self Evaluation Video Tutorial,Document,Online Content,1,,720,,Watch this video tutorial to learn how to complete your annual evaluation using ADP's Performance Module.,Cal/OSHA Latin American Spanish,https://google.com
Library_ADP Self Evaluation Work Instruction,ADP Self Evaluation Work Instruction,Document,Online Content,1,,,,Follow these steps to complete your annual self evaluation in ADP's Performance Module.,Cybersecurity,https://google.com
Library_ADP_Goals_Work_Instruction,ADP Goal Setting and Cascading Work Instruction,Document,Online Content,1,,,,"This ADP work instruction is a resource for creating, editing, importing, archiving and cascading goals that are aligned with Company Hoshin.",Cloud,https://google.com
Library_Bloodborne_Pathogens_(English),Bloodborne Pathogens (English),Document,Online Content,1,,,,English version of the Bloodborne Pathogens Safety Video,Data,https://google.com
Library_Bloodborne_Pathogens_(Spanish),Bloodborne Pathogens (Spanish),Document,Online Content,1,,,,Spanish Language version of the Bloodborne Pathogens video.,Chemical,https://google.com
Library_Carbon Neutral_SP,Carbon Neutral (SP),Document,Online Content,1,,,,Safety video: Carbon Neutral in Spanish.,Business Continuity Planning Bootcamps,https://google.com
Library_Carbon_Neutral_ENG,Carbon Neutral (ENG),Document,Online Content,1,,,,Safety Video Carbon Neutral in English,Cloud Development,https://google.com
Library_Concur Travel & Expense Training,Concur Travel & Expense Training,Document,Online Content,1,,,,Reference guide to help you navigate the Concur website and create expense reports and travel requests.,Cloud Basics,https://google.com
Library_Confined_Space_EN,Confined Space - EN,Document,Online Content,1,,,,Confined Space Safety Video (English),Cloud Services,https://google.com
Library_Confined_Space_SPA,Confined Space - SPA,Document,Online Content,1,,,,Confined Space Safety Video (Spanish),Data / ML / AI,https://google.com
Library_Docusign Create an Envelope for Electronic Signatures,DocuSign - Create an Envelope for Electronic Signatures,Document,Online Content,1,,,,,Cloud Services Bootcamps,https://google.com
Library_Docusign First Time Signer Instructions,DocuSign - First Time Signer Instructions,Document,Online Content,1,,,,,Business Continuity Planning,https://google.com
Library_Electronic Travel Request and Expense Report,Travel and Expense Report Form on Sharepoint - Instructional Guide,Document,Online Content,1,,,,"This guide will show you how to complete an electronic Travel Request and Expense Report which are located on Sharepoint. This form should be used by all salaried employees, and hourly employees who have a company email address.",Cloud Practitioner,https://google.com
Library_FileHold Tutorials,FileHold Video Tutorials,Document,Online Content,1,,,,This document contains a link to the FileHold website where you can access a variety of video tutorials. Must have access to YouTube in order to load videos.,Cybersecurity Career Journey,https://google.com
Library_Instructions_Create a Workflow in Filehold,Create a Workflow in Filehold,Document,Online Content,1,,,,Follow these steps to create a workflow in Filehold.,Codecademy,https://google.com
Library_Instructions_Upload Documents to Filehold,Upload Documents to Filehold,Document,Online Content,1,,,,Follow these steps to upload documents to Filehold.,Data,https://google.com
Library_LMS Login Instructions (AGGMO),LMS Login Instructions (AGGMO),Document,Online Content,1,,,,General LMS login instructions and password reset steps,Business Communication,https://google.com
Library_LMS Mobile App Quick Guide,LMS Mobile App Quick Guide,Document,Online Content,1,,,,Quick guide to get you started with the LMS mobile app,Codecademy Languages,https://google.com
LIbrary_LockoutTagout_EN,Lockout Tagout (EN),Document,Online Content,1,,,,Safety video Lockout Tagout in English,Corporate Communications,https://google.com
Library_LockoutTagout_SPA,Lockout Tagout (SPA),Document,Online Content,1,,,,Safety video Lockout Tagout in Spanish,Business Strategy,https://google.com
Library_Microsoft Teams Chead Sheet,Microsoft Teams Cheat Sheet,Document,Online Content,1,,,,"Quick user guide for Teams (getting started, chats, meetings and calls, keyboard shortcuts, etc.)",Cloud Platforms,https://google.com
Library_Microsoft Teams Cheat Sheet (Spanish),Microsoft Teams Guía Rápida,Document,Online Content,1,,,,"Instrucciones rápidas para La Pantalla del Programa Teams, Los Fundamentos, Chats, Navegación, Reuniones y Llamadas, y más",Cloud Computing & Server Technology,https://google.com
Library_PPE_ENG,Personal Protective Equipment (PPE) (ENG),Document,Online Content,1,,,,Personal Protective Equipment (PPE) safety video in English,Codecademy,https://google.com
Library_QC Circle Activity - Example Presentation,QC Circle Activity - Example Presentation,Document,Online Content,1,,,,"This presentation was from 1st place winner, Annie Basler's, 2019 QC Circle activity to eliminate scratch defects. Utilize it for ideas on how to create a winning presentation for your own QC Circle activity.",Business Planning & Analysis,https://google.com
Library_QC Circle Kick-Off Presentation,QC Circle Kick-Off Presentation,Document,Online Content,1,,,,"This material was presented at the 2022 QC Circle Kick-Off meeting, led by Angie Prost, Manager, AGG University. Outlined in this presentation are the following: timeline of activities, standard format for small group activity, overview of 8 steps for problem solving, and general presentation information (timeframe, length, etc.).",Business Skills,https://google.com
Library_QC_Circle_Next_Steps,QC Circle - Next Steps,Document,Online Content,1,,,,"These are next steps to the QC Circle Kick-Off Presentation. Outlined in this presentation are the following: timeline of activities, Small Group Activity (SGA) Information Sheet, QC Circle Teams, Mid-Term Plan for Expanding, and additional Resources.",Certifications,https://google.com
Library_SCP_Resource_Final Presentation Template,Final Presentation (Template),Document,Online Content,1,,,,Template that can be used for final Supervisor Certification Presentaiont,Data Analysis,https://google.com
Library_SlipsTripsFalls_SPA,"Slips, Trips & Falls (SPA)",Document,Online Content,1,,,,"Safety Video Slips, Trips & Falls in Spanish",Cisco WebEx,https://google.com
Library_Standard QC Circle Format Guide,Standard QC Circle Format Guide,Document,Online Content,1,,,,This guide provide tips on creating a QC Story.,Customer Service,https://google.com
Library_Stop 7_(Spanish),Stop 7 (Spanish),Document,Online Content,1,,,,Spanish Language version of Stop 7 video,Data Analytics,https://google.com
Library_Stop_7_(English),Stop 7 (English),Document,Online Content,1,,,,English Language version of Stop 7 Video,Cloud Services,https://google.com
library_Tactis_Basic_Course,Tactis Basic Course,Document,Online Content,1,,,,Tactis Basic Course (Curso Basico),Collaboration,https://google.com
library_Tactis_Color_Information_for_Toyota,Tactis Color Information for Toyota,Document,Online Content,1,,,,Tactis Color Information for Toyota,Skills for Effective Collaboration,https://google.com
library_Tactis_Drawing_Register,Tactis Drawing Register,Document,Online Content,1,,,,Tactis Drawing Register,Communications Skills,https://google.com
library_Tactis_Edit_Edition,Tactis Edit,Document,Online Content,1,,,,Tactis Edit Edition,Business Operations,https://google.com
library_Tactis_Electronic_Approval,Tactis Electronic Approval,Document,Online Content,1,,,,Tactis Electronic Approval,Communication Essentials,https://google.com
library_Tactis_Registration_of_Regulation_Certification,Tactis Registration of Regulation Certification,Document,Online Content,1,,,,Tactis Registration of Regulation Certification Edition,Cisco,https://google.com
library_Tactis_Search_and_Reference,Tactis Search and Reference,Document,Online Content,1,,,,Tactis Search and Reference Edition,Browsers & Operating Systems,https://google.com
library_TACTIS_Setup_Manual,Tactis Setup Manual,Document,Online Content,1,,,,How to install Citrix software for TACTIS,Cloud Career Journey,https://google.com
Library_Tactis_Setup_Manual_Edition,Tactis Setup Manual,Document,Online Content,0,,,,Tactis Setup Manual (knowledge document),Business Skills,https://google.com
library_Tactis_Start_Edition,Tactis Start,Document,Online Content,1,,,,Tactis Start Edition,Cal/OSHA,https://google.com
library_Tactis-Colored-Parts-Information,Tactis Colored Parts Information,Document,Online Content,1,,,,Tactis Colored Parts Information,Certifications,https://google.com
Library_Toyoda Gosei eSign Operation Manual for Approver,Toyoda Gosei eSign Operation Manual for Approver,Document,Online Content,1,,,,,Choose a Learning Journey that Fits my Goal,https://google.com
Library_Toyoda Gosei eSign Operation Manual For Originator,Toyoda Gosei eSign Operation Manual for Originator,Document,Online Content,1,,,,,Business,https://google.com
Library_What is QC Circle (English),What is QC Circle?,Document,Online Content,1,,,,"A QC Circle is a small group consisting of first-line employees who continually control and improve th quality of their work, products, and services.",Cisco Teams,https://google.com
Library_Work Instruction for Standard Improvement Activity,Work Instruction for Standard Improvement Activity,Document,Online Content,1,,,,This is a Work Instruction for a Standard Improvement Activity. Utilize this Work Instruction when creating a QC Story.,Customer Service: Core Concepts & Methods,https://google.com
LMS Instructions_Assign E-Course to Employees2_Library,Assign E-Course to Employees,Document,Online Content,1,,,,"Follow these steps to assign E-courses to your employees. Once assigned, the E-courses will be in the employee(s) ""Required Training"" timeline and ready to be completed.",Managing a Crisis,https://google.com
LMS Instructions_Assign E-Courses to Employees_Library,Assign E-Courses to Employees,Document,Online Content,0,,,,"Follow these steps to register your employee(s) for LMS Delivered Trainings, like video e-courses, which the employee(s) will complete by logging in to their LMS and navigating to their Required Training Timeline.",Customer Success,https://google.com
LMS Instructions_How to Complete LMS Surveys_Library,How to Complete LMS Surveys,Document,Online Content,0,,,,Instructions for how to access and complete LMS surveys.,Core Knowledge,https://google.com
LMS Instructions_How to Express Interest in a Course_Library,How to Express Interest in a Course,Document,Online Content,1,,,,Instructions for how to Express Interest in a course that may not have offerings that work with your schedule. Expressing interest will help AGGU design offerings of courses and trainings to meet the needs of our employees.,Collaboration Tools,https://google.com
LMS Instructions_Manage Rosters_Library,Manage Learning Activity Rosters,Document,Online Content,1,,,,A document for LMS coordinators that covers managing and updating rosters on learning activities.,Cloud Security,https://google.com
LMS Instructions_Manage Users in the LMS_Library,Manage Users in the LMS,Document,Online Content,1,,,,A document for LMS coordinators that details the power of the user menu for tracking and managing activities and organizations in the LMS.,Data/ML Developer to AI Developer,https://google.com
LMS Instructions_Mobile Instructions How To_Library,Mobile App Instructions,Document,Online Content,1,,,,"A guide for how to download, install, and use the AGGU mobile app.",Collections,https://google.com
LMS Instructions_Prevent Browser from Caching (storing unnecessary data)_Library,Prevent Browser from Caching (storing unnecessary data),Document,Online Content,1,,,,"Internet browsers cache (store) data, which can cause problems with the data transfer in the LMS. These instructions will show you how to select the appropriate settings in your browser to ensure unnecessary data is deleted every time you close your browser.",Cloud Computing,https://google.com
LMS Instructions_Prevent Browser from Caching (storing) Unnecessary Data_Library,Prevent Browser from Caching (storing) Unnecessary Data,Document,Online Content,0,,,,"Internet browsers cache (store) data, which can cause problems with the data transfer in the LMS. These instructions will show you how to select the appropriate settings in your browser to ensure unnecessary data is deleted every time you close your browser.",Cybersecurity Career Journey,https://google.com
LMS Instructions_Register Employees for Instructor-Led Trainings (ILT)_Library,Register Employees for Instructor-Led Trainings (ILT),Document,Online Content,1,,,,"Follow these steps to register your employee(s) to attend instructor-led trainings, which are offered on specific dates, times, and locations.",Computer Skills,https://google.com
LMS Instructions_Register Employees for Instructor-Led Trainings_Library,Register Employees for Instructor-Led Trainings,Document,Online Content,0,,,,"Follow these steps to register your employee(s) for instructor-led trainings, which are offered on specific dates, times, and locations.",Business Continuity,https://google.com
LMS Instructions_Register Yourself for Instructor-Led Trainings (ILT)_Library,Register Yourself for Instructor-Led Trainings (ILT),Document,Online Content,1,,,,"Follow these steps to register yourself to attend instructor-led trainings, which are offered on specific dates, times, and locations.",Business Operations,https://google.com
LMS Instructions_Register Yourself for Instructor-Led Trainings_Library,Register Yourself for Instructor-Led Trainings,Document,Online Content,0,,,," Follow these steps to register yourself to attend instructor-led trainings, which are offered on specific dates, times, and locations.",Cloud,https://google.com
NewActivity__20230717,NewActivity__20230717,Document,Online Content,1,,,,,Cloud Security,https://google.com
Objective,OBJECTIVE,Document,Online Content,1,,,,,Client & Server Administration,https://google.com
OLD_Compliance_HIPAA,OLD_HIPAA,Document,Online Content,1,en-us,900,,Procedure for handling Protected Health Information (PHI) according to guidelines set by HIPAA; requirement for First Aid/CPR/AED Certification (2-year Recertification) This training complies with OSHA standard 1910.151.,Codecademy Subjects,https://google.com
OLD_Compliance_Statement of Confidentiality (First Aid),OLD_Statement of Confidentiality (First Aid),Document,Online Content,1,en-us,900,,Summary of confidentiality rules and policies which you must follow at all times; requirement for First Aid/CPR/AED Certification (2-year Recertification) This training complies with OSHA standard 1910.151.,Core,https://google.com
OLD_Compliance_What is First Aid vs OSHA,OLD_What is First Aid vs OSHA,Document,Online Content,1,en-us,900,,Complete list of OSHA approved first aid procedures/treatments that may be administered by certified first aid team members. Required for First Aid/CPR/AED Certification. (2-year Recertification) This training complies with OSHA standard 1910.151.,Crisis Management,https://google.com
Onboarding_10 Day New Hire Mentor Survey,10 Day New Hire Mentor Survey,Document,Online Content,0,,300,,10 Day New Hire Mentor Survey. Complete and select submit.,CompTIA,https://google.com
Onboarding_25 Day New Hire Mentor Survey,25 Day New Hire Mentor Survey,Document,Online Content,0,,,,25 Day New Hire Mentor Survey. Complete and Select submit.,Concur,https://google.com
Onboarding_Welcome to the Mentoring Program,Welcome to the Mentoring Program,Document,Online Content,0,,,, 4-week program indented to give new hires a solid foundation as they adapt to their new positions,C#,https://google.com
Percipio_00758d70-dc43-4fb2-8949-18b6b26b49c8,Introduction to Tableau Bootcamp: Live Session 4,Document,Online Content,0,en-us,10800,,Click here to register for the Tableau Bootcamp live session on December 17th from 11 AM - 2:00 PM EDT.,Civil,https://google.com
Percipio_012e6f03-f92d-4fe4-bb9b-139c853d2bcd,Distance Learning: 8 Tips to Help Your Child Learn at Home,Document,Online Content,1,en-us,,,"How do you navigate online learning, or distance learning, as a parent? Get tips on how to get your child ready to learn online at home. Please note that this course material includes content gathered from external websites which may fall outside your company network. Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Corporate Marketing,https://google.com
Percipio_02314109-4586-4bec-be56-1fc5eddee958,Teaching from home - advice for teachers and parents,Document,Online Content,1,en-us,,,"Whether you're at school or at home, you can access BBC Teach and BBC Bitesize for free. Our websites are home to thousands of free educational videos, guides and audio clips, as well as an immense archive of spectacular Live Lessons. Please note that this course material includes content gathered from external websites which may fall outside your company network.  Please consult with your IT department policies with respect to any restrictions in viewing content from external websites.",Business Execution,https://google.com
Percipio_0385202e-1382-4e6c-aaae-80695628f753,PMP ATP - August/September Cohort: Live Session 3,Document,Online Content,0,en-us,16200,,Click here to enter the Live session on August 23rd at 1 PM Eastern.,Cloud Career Journey,https://google.com
Percipio_041f2481-df89-4a16-b8cd-4d236477c772,PMP ATP - November Cohort: Live Session 5,Document,Online Content,0,en-us,28800,,Click here to register for the Live session on November 12th at 10 AM Eastern.,Browse Partner Content,https://google.com
