Curriculum ID*,Section Name,Child LO ID,Curriculum Title*,Vendor/Provider*,Provider type*,Active,Default Language,Subject IDs*,Description,Owners*,Created/Modified By,Keywords,Available Languages,Availability to All Users,Availability to Specific Users,Availability to OU‡,Availability OU Type,Register Upon Approval,Pre-Approved,Includes Subordinates,Curriculum Player,Recurrence,Thumbnail,Exclude from Course Recommendations,Training Purpose,Points,Badge,Emails
,Test Section for Succession Plan for Mark Miller,Percipio_4b47cb60-ce3e-11e7-845b-9d7d00b83945,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_4b68d36f-d153-4e73-96a3-9f1976aad19b,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_54bcc100-ce3e-11e7-845b-9d7d00b83945,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_5626ef91-fea5-11e6-8638-0242c0a80b06,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_5630655c-fea5-11e6-8638-0242c0a80b06,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_63208524-4d1f-11e7-9a6a-bef7011cdcad,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_6320ac29-4d1f-11e7-9a6a-bef7011cdcad,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_6c0f94e0-72f3-11e8-a369-c1c5e7426ac9,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_7942ec10-9ece-11e7-8a06-490c4f736080,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_9b5802a0-ce3e-11e7-845b-9d7d00b83945,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_a237c59d-808f-4aac-b58a-66ac834a348e,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_a6459160-9ed1-11e7-856e-ad138f9eeddf,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_ac318470-ce3e-11e7-845b-9d7d00b83945,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for Succession Plan for Mark Miller,Percipio_b22ce3c8-2b54-4c0f-8f6b-5b6a2aba3862,Succession Plan for Mark Miller,Online Content,ONLINE,1,1,939,Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave; it increases the availability of experienced and capable employees who are prepared to assume these roles as they become available.,jadmin,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
