User ID*,Session ID*,Transcript Status,Score,Pass/Fail,Request Date/Time,Registration Date/Time,Completion Date/Time,Due Date/Time,User Exempt Reason,Approver Exempt Reason,User's Exemption Comments,Approver's Exemption Comments,Exempt By,Comments*,Archived
1662,Leadership_Emotional Intelligence Training-0002,,,,09/16/2019 13:37:51.000,09/16/2019 13:37:51.000,10/24/2019 14:55:00.000,,,,,,,,0
1687,Core_ Core Operator Training (AGGU) Class,,,,2015-09-10 08:00:00,2015-09-10 08:00:00,2015-09-10 00:00:00,,,,,,,,0
1706,Onboarding_Mentor Certification Training-0029,,,,08/24/2021 15:16:44.000,08/24/2021 15:16:44.000,08/24/2021 12:15:00.000,,,,,,,,0
1740,Train the Trainer_Overhead Crane Instructor Class,,,,03/15/2016 08:00:00.000,03/15/2016 08:00:00.000,03/15/2016 00:00:00.000,,,,,,,,0
1743,Computer Skills_Excel Intermediate Class,,,,2017-10-04 08:00:00,2017-10-04 08:00:00,04/14/2017 00:00:00.000,,,,,,,,0
1768,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
1778,Computer_FileHold Class,,,,2017-03-05 08:00:00,2017-03-05 08:00:00,2017-03-05 00:00:00,,,,,,,,0
1783,Core_ Core Operator Training (AGGU) Class,,,,2016-06-06 08:00:00,2016-06-06 08:00:00,2016-07-06 00:00:00,,,,,,,,0
1798,Technical_Fanuc Level I (Ranken) Class,,,,12/13/2018 20:22:56.000,12/13/2018 20:22:56.000,2018-03-05 22:00:00,,,,,,,This is done by admin due to some Technical Issues or Glitches,0
1798,Technical_Fanuc Level II (Ranken) Class,,,,12/13/2018 20:21:06.000,12/13/2018 20:21:06.000,05/24/2018 22:00:00.000,,,,,,,,0
1824,Core_ Core Operator Training (AGGU) Class,,,,09/23/2015 08:00:00.000,09/23/2015 08:00:00.000,09/23/2015 00:00:00.000,,,,,,,,0
1839,Computer Skills_Excel Basic Class,,,,07/24/2017 08:00:00.000,07/24/2017 08:00:00.000,07/28/2017 00:00:00.000,,,,,,,,0
1839,Computer Skills_Excel Intermediate Class,,,,2017-07-08 08:00:00,2017-07-08 08:00:00,2017-11-08 00:00:00,,,,,,,,0
1841,Core_ Core Operator Training (AGGU) Class,,,,2016-06-06 08:00:00,2016-06-06 08:00:00,2016-07-06 00:00:00,,,,,,,,0
1842,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
1856,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
1907,Leadership_Emotional Intelligence Training-0002,,,,09/16/2019 16:53:45.000,09/16/2019 16:53:45.000,10/24/2019 14:55:00.000,,,,,,,,0
1917,Leadership_Emotional Intelligence Training-0002,,,,09/13/2019 21:02:13.000,09/13/2019 21:02:13.000,10/24/2019 14:55:00.000,,,,,,,,0
1920,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 16:22:09.000,12/13/2018 16:22:09.000,2018-12-01 12:00:00,,,,,,,,0
1920,Leadership_Emotional Intelligence Training-0001,,,,2019-07-10 20:58:41,2019-07-10 20:58:41,10/24/2019 14:55:00.000,,,,,,,,0
1937,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 16:37:12.000,12/13/2018 16:37:12.000,01/15/2018 14:30:00.000,,,,,,,,0
1937,Leadership_Emotional Intelligence Training-0001,,,,09/13/2019 19:44:47.000,09/13/2019 19:44:47.000,10/24/2019 14:55:00.000,,,,,,,,0
1943,Computer Skills_Excel Basic Class,,,,06/26/2017 08:00:00.000,06/26/2017 08:00:00.000,06/30/2017 00:00:00.000,,,,,,,,0
1943,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 16:22:09.000,12/13/2018 16:22:09.000,2018-12-01 12:00:00,,,,,,,,0
1943,Safety_Token Yochi Class,,,,2017-07-11 08:00:00,2017-07-11 08:00:00,2017-07-11 00:00:00,,,,,,,,0
1962,Computer Skills_Excel Basic Class,,,,06/26/2017 08:00:00.000,06/26/2017 08:00:00.000,06/30/2017 00:00:00.000,,,,,,,,0
1962,Computer Skills_Excel Intermediate Class,,,,2017-10-07 08:00:00,2017-10-07 08:00:00,07/14/2017 00:00:00.000,,,,,,,,0
