OU ID*,OU Name*,Active,Allow Reconciliation,Parent ID,Owner ID,Description,Req- Person ID Number,Critical Position,Plan Owner OU ID
661654,Direct3- Production Team Membe,1,0,,DefaultAdmin,This Job is for Direct3- Production Team Membe Users only,,,
661655,Direct3- Shipping Team Member,1,0,,DefaultAdmin,This Job is for Direct3- Shipping Team Member Users only,,,
661656,Direct3- Quality Team Member,1,0,,DefaultAdmin,,,,
661657,Direct3- Lead Team Member,1,0,,DefaultAdmin,,,,
661658,Direct3- Mold Set-up Team Memb,1,0,,DefaultAdmin,This Job is for Direct3- Mold Set-up Team Memb Users only,,,
661659,Machine Programmer II,1,0,,DefaultAdmin,This Job is for Machine Programmer II Users only,,,
661660,Machine Programmer III,1,0,,DefaultAdmin,This Job is for Machine Programmer III Users only,,,
661661,Mold Engineer III,1,0,,DefaultAdmin,This Job is for Mold Engineer III Users only,,,
661662,"Analyst, Service",1,0,,DefaultAdmin,"This Job is for Analyst, Service Users only",,,
661663,"Specialist, Accounting",1,0,,DefaultAdmin,"This Job is for Specialist, Accounting Users only",,,
661664,"Manufacturing Engineer, JR",1,0,,DefaultAdmin,"This Job is for Manufacturing Engineer, JR Users only",,,
661665,OJT Team Member,1,0,,DefaultAdmin,This Job is for OJT Team Member Users only,,,
661666,"Shipping Specialist, Sr.",1,0,,DefaultAdmin,"This Job is for Shipping Specialist, Sr. Users only",,,
661667,Learning & Development Spec Sr,1,0,,DefaultAdmin,This Job is for Learning & Development Spec Sr Users only,,,
661668,"Administrator, Accounting, Sr.",1,0,,DefaultAdmin,"This Job is for Administrator, Accounting, Sr. Users only",,,
661669,"Specialist, Project",1,0,,DefaultAdmin,"This Job is for Specialist, Project Users only",,,
661670,"Payroll Specialist, PT",1,0,,DefaultAdmin,"This Job is for Payroll Specialist, PT Users only",,,
770186,Specialist - AR,1,0,,DefaultAdmin,This Job is for Specialist - AR Users only,,,
770201,Administrator - Accts Payable,1,0,,DefaultAdmin,This Job is for Administrator - Accts Payable Users only,,,
880007,Mold Maintenance,1,0,,DefaultAdmin,This Job is for Mold Maintenance Users only,,,
999997,Temp Agency Express,1,0,,DefaultAdmin,This Job is for Temp Agency Express Users only,,,
