OU ID*,OU Name*,Active,Allow Reconciliation,Parent ID,Owner ID,Description,Freeze Group Processing
CSP_Survey_Reconciliation,Critical Safety Parts,1,0,,,Audience to ensure all that have previously taken the Critical Safety Parts training can add input to the survey.,0
Customer_Critical_Characteristics_Training_I/E,Customer Critical Characteristics Training I/E,1,0,,,"Audience for all I/E division members at AGGMO and BTX, except IE Shipping 5019.",0
Customer_Critical_Characteristics_Training_SS,Customer Critical Characteristics Training SS,1,0,,,Audience for all SS division members at AGGMO and BTX.,0
DELETE_TEST FOR PHPR,DELETE_TEST FOR PHPR,1,0,,,This Audience have DELETE_TEST FOR PHPR Users only.,0
Document_Control_Procedure,Document Control Procedure,1,0,,,New Engineers,0
due Dec 10th,AGG Covid Vaccination Incentive Survey DEC 10TH,1,0,,,All company audience for AGG Vaccine Survey. Due by December 10th.,0
due JAN 31,AGG Covid Vaccination Incentive Survey JAN 31,1,0,,,Audience for 2nd round of Covid Vaccine Incentive Responses. Only pushed to audience members from previous group who did not complete the survey.,0
due March 31st,Covid Vaccine Incentive Survey (due March 31st),1,0,,,This Audience have Covid Vaccine Incentive Survey (due March 31st) Users only.,0
Electrical_Safety,Electrical Safety,1,0,,,"Engineer (Chrome, Electrical, Mechanical)____ Engineering Tech TPS____ Engineering Tech I, II, III____ Machine Engineer I, II, III____ Maintenance Team Member I, II, III, IV,V,VI____ Manufacturing Engineering I, II, III____ Mold Engineer I, II____ Production Engineer I____ TPS Engineer I, II, Maintenance Team Member, Jr",0
Electrical_Safety,Electrical Safety,1,0,,,This Audience have Electrical Safety Users only.,0
Emergency_Response_Team_(MO),Emergency Response Team (MO),1,0,,,AGGMO Emergency Response Team,0
Emotional_Intelligence_for_Managers,Emotional Intelligence for Managers,1,0,,,"Audience for the Emotional Intelligence for Managers curriculum. Managers, Assistant Managers, and Senior Managers.",0
Emotional_Intelligence_Training,Emotional Intelligence Training,1,0,,,Asst GM's and above,0
Engineering_Tech_I_Training_Plan_(TEST),Engineering Tech I Training Plan (TEST),1,0,,,This Audience have Engineering Tech I Training Plan (TEST) Users only.,0
expense_report_training,Expense Report Training,1,0,,,Expense report training audience for all Managers and Supervisors.,0
Failure_Mode_&_Effects_Analysis_(FMEA),Failure Mode & Effects Analysis (FMEA),1,0,,,Quality Engineers____ Manufacturing Engineers____ Engineering Techs____ Internal Auditors,0
Fall_Protection,Fall Protection,1,0,,,"Dept. 5090, 5091, 5091I _____ Maintenance I,II,III,IV,V,VI; Maintenance Engineer, Maintenance Team Member, Jr _____ Maintenance Dept. Supervisors & Managers",0
Fall_Protection,Fall Protection,1,0,,,for personnel who work at heights,0
FMLA_(Family_Medical_Leave_Act),FMLA (Family Medical Leave Act),0,0,,,Supervisors____ Managers____ General Managers,0
For testing Spanish Translations,Test Translations - Spanish,1,0,,,This Audience have Test Translations - Spanish Users only.,0
Forklift_Certification_(AGGBTX),Forklift Certification (AGGBTX),1,0,,,Individuals who require have Forklift Certification.,0
Forklift_Certification_(AGGMS),Forklift Certification (AGGMS),1,0,,,Individuals who require Forklift Certification,0
Forklift_Certification_(AGGNAI),Forklift Certification (AGGNAI),1,0,,,Individuals who require Forklift Certification Dept: 5020I,0
Forklift_Re-Certify,Forklift Re-Certify,1,0,,,"Employee has a prior record of completion, but needs to re-certify (ex. hasn't operated a forklift in more than a year)",0
Forklift_Remediation_(AGGBTX),Forklift Remediation (AGGBTX),1,0,,,"Individuals who have been involved in an accident, near-miss, or management has deemed retraining necessary.",0
Forklift_Remediation_(AGGMO),Forklift Remediation (AGGMO),1,0,,,"Individuals have been involved in an accident, near-miss, or management has deemed retraining necessary.",0
Forklift_Remediation_(AGGMS),Forklift Remediation (AGGMS),1,0,,,"Individuals who have been involved in an accident, near-miss, or management has deemed retraining necessary.",0
Forklift_Remediation_(AGGNAI),Forklift Remediation (AGGNAI),1,0,,,"Individuals who have been involved in an accident, near-miss, or management has deemed retraining necessary.",0
Forklift_View_in_Library,Forklift View in Library,1,0,,,This Audience have Forklift View in Library Users only.,0
FS - Legal Compliance,AGG Legal Compliance Training,1,0,,,For SPVRs and above,0
fs_reporting_audience,FS Reporting Audience,1,0,,,Reporting audience for FS domain.,0
GDBR - Portuguese Version - Harassment Prevention for Managers,Global Workplace Harassment Prevention for Managers,1,0,,,Supervisors & Managers,0
GDBR_Coordinators_Temporary,GDBR Coordinators,1,0,,,Audience for Coordinators(Coordenador) at AGGGDBR,0
GDBR_Expats_Temporary,GDBR Expats,1,0,,,Audience for Expats at GDBR,0
GDBR_Managers,GDBR Managers,1,0,,,Audience for Managers(Gerente) at AGGGDBR,0
GDBR_Supervisors_Temporary,GDBR Supervisors,1,0,,,Audience for Supervisors at AGGGDBR,0
Ghost_Audience,Ghost Audience,1,0,,,Default audience for Ghost domain,0
Glacial_Acetic_Acid_(GAA)_Work_Instruction,Glacial Acetic Acid (GAA) Work Instruction,1,0,,,This Audience have Glacial Acetic Acid (GAA) Work Instruction Users only.,0
Global - Tamson ME,Tamson Links (Mold Engineers),1,0,,,This Audience have Tamson Links (Mold Engineers) Users only.,0
Global - Tamson MS,Tamson Links (Mold Setter),1,0,,,This Audience have Tamson Links (Mold Setter) Users only.,0
Global - Tamson PE,Tamson Links (Production Engineers),1,0,,,This Audience have Tamson Links (Production Engineers) Users only.,0
Global - Tamson QE,Tamson Links (Quality Engineers),1,0,,,This Audience have Tamson Links (Quality Engineers) Users only.,0
"Global - Training Plan - Supervisor, Production (TEST)","Supervisor, Production - Training Plan",1,0,,,(TEST) Applies to all production supervisors,0
Global_Audience,Global Audience,1,0,,,Default audience for Global domain,0
Global_Data Architecture,Data Architecture,1,0,,,Computer training for engineers,0
Global_Data Science,Data Science,1,0,,,Computer training for supervisors & engineers,0
Global_Executive_Development_(GED),Global Executive Development (GED),1,0,,,This Audience have Global Executive Development (GED) Users only.,0
Global_Executive_Seminar_(GES),Global Executive Seminar (GES),1,0,,,This Audience have Global Executive Seminar (GES) Users only.,0
Global_IT Literacy Entry Level,IT Literacy - Entry Level,1,0,,,Computer courses for Supervisors,0
Global_Japanese version_Harassment Prevention for Managers,Global Workplace Harassment Prevention for Managers (Japanese),1,0,,,This Audience have Global Workplace Harassment Prevention for Managers (Japanese) Users only.,0
Global_Leadership_Development_Program_(GLDP),Global Leadership Development Program (GLDP),1,0,,,Presidents____ Vice Presidents,0
Global_PHPR_NonManagers,NEW_Preventing Harassment & Promoting Respect for Non-Managers,1,0,,,"Preventing Harassment and Promoting Respect for Non-Managers. Assigns 3 Activities. COMPLIANCE SHORT: Preventing Harassment and Promoting Respect 1,2,3.",0
Global_Workplace_Harassment_Prevention_for_Managers,Global Workplace Harassment Prevention for Managers,1,0,,,Global Workplace Harassment Training for ALL NAMCs. Supervisors and Above. Hoshin FY 21,0
Guardhouse_Requirements,Guardhouse Requirements,1,0,,,Guardhouse Group,0
Guest,Guest,1,0,,,This Audience have Guest Users only.,0
Handwritten_Changes_on_Controlled_Documents,Handwritten Changes on Controlled Documents,1,0,,,"All Supervisors, Managers, Engineers, and Set-up",0
Hazardous_Waste_Labeling_(EWI_4.6.31),Hazardous Waste Labeling (EWI 4.6.31),1,0,,,"Dept. 6218 pushed by curriculum (entire department, including Supervisors & Managers)_____ Dept. 6225 (entire department, including Supervisors & Managers)_____ [SS] Depts.: 6164, 6189, 6191, 6193, 6196, 6198 (with job titles of Maintenance Team Members I,II,III, IV; Supervisors; Managers)_____ [IE] Dept.: 5040 (Maintenance Team Members I, II, III, IV; Supervisors; Managers)_____ [NAI] Dept: 5040I (Maintenance Team Members I, II, III, IV; Supervisors; Managers)____",0
Hazardous_Waste_Labeling_(EWI_4.6.31),Hazardous Waste Labeling (EWI 4.6.31),1,0,,,Maintenance 3455 & 3355____Dept. 3467____Dondori 3469____Extrusion 3473,0
Hazardous_Waste_Storage/Removal_(EWI_4.6.32),Hazardous Waste Storage/Removal (EWI 4.6.32),1,0,,,Dept. 8032,0
Hazards_for_3M_Adhesion_Promoter,Hazards for 3M Adhesion Promoter,1,0,,,Audience for Hazards for 3M Adhesion Promoter.,0
Hazards_for_NMP_Cleaner,Hazards for NMP Cleaner,1,0,,,Hazards for NMP Cleaner. For all members of Poly and Poly management. 1 year recertification.,0
Hazwoper_40,Hazwoper 40,1,0,,,Emergency Response Team,0
Hazwoper_8,Hazwoper 8,1,0,,,Emergency Response Team,0
Hearing_Conservation,Hearing Conservation,1,0,,,Dept. 4633____ Dept. 4633X____ Dept. 4507____ Dept. 4507X____ Hearing Conservation Group,0
Hexavalent_Chromium,Hexavalent Chromium,1,0,,,Dept. 6218____ Dept. 8032____ Safety Specialist,0
IATA_Dangerous_Goods_(Air),IATA Dangerous Goods (Air),1,0,,,Employees who ship dangerous goods by air & sign shipping manifests,0
ILT,Global Machine Safety Standard ILT,1,0,,,This Audience have Global Machine Safety Standard ILT Users only.,0
IMDG_Dangerous_Goods_(Sea),IMDG Dangerous Goods (Sea),1,0,,,Employees who ship dangerous goods by water & sign shipping manifests,0
IMX - 8BR,8BR (8 Basic Requirements),1,0,,,Production TM's after 3 years of service,0
IMX - 8BR for New Hires,8BR (8 Basic Requirements) for New Hires,1,0,,,This Audience have 8BR (8 Basic Requirements) for New Hires Users only.,0
IMX - Antitrust Compliance Oath,Antitrust Compliance Oath,1,0,,,All salary job titles,0
IMX - Benefits Orientation,Intro to AGG - Benefits Orientation (IMX),1,0,,,All IMX new hires,0
IMX - Benefits Orientation (REHIRES),Intro to AGG - Benefits Orientation Rehire (IMX),1,0,,,Rehire audience for IMX benefits orientation.,0
IMX - Bribery Guidelines,Bribery Guidelines,1,0,,,Asst Managers____Managers___Senior Managers,0
IMX - Business Conduct Agreement,Business Conduct Agreement,1,0,,,all salary job titles,0
IMX - Calidad Incorporada (Built-in Quality) (todos los módulos),Built in Quality (All Modules),1,0,,,This Audience have Built in Quality (All Modules) Users only.,0
IMX - Cámbio Rápido – Quick Changeover: El sistema SMED (todos los módulos),Quick Changeover: The SMED System (All Modules),1,0,,,This Audience have Quick Changeover: The SMED System (All Modules) Users only.,0
IMX - Chrome Physical,Chrome Physical,1,0,,,Plating,0
"IMX - Conferencia de Masaaki Imai sobre Gemba, Kaizen y Lean (todos los módulos)","Conference on Gemba, Kaizen, and Lean (All Modules)",1,0,,,"This Audience have Conference on Gemba, Kaizen, and Lean (All Modules) Users only.",0
IMX - Confined Space,Confined Space,1,0,,,This Audience have Confined Space Users only.,0
IMX - Electrical Safety,Electrical Safety,1,0,,,Maintenance____ Engineering,0
IMX - Fall Protection,Fall Protection,1,0,,,This Audience have Fall Protection Users only.,0
IMX - Filehold,Filehold Training,1,0,,,managers and staff,0
IMX - Fire Extinguisher E-course,Fire Extinguisher E-course (IMX),1,0,,,temporary audience for Spanish version of Fire Extinguisher - to be used until SumTotal updates Production to 21.1,0
IMX - First Aid,First Aid Certification,1,0,,,This Audience have First Aid Certification Users only.,0
IMX - Forklift Certification,Forklift Certification (IMX),1,0,,,This Audience have Forklift Certification (IMX) Users only.,0
IMX - Harassment Prevention,Workplace Harassment Prevention for Managers,1,0,,,managers,0
IMX - Hazcom,Hazard Communication,1,0,,,Paint____ Plating____ Some members in Receiving,0
IMX - Hearing Conservation,Hearing Conservation,1,0,,,Pintura members,0
IMX - Hexavalent Chromium,Hexavalent Chromium,1,0,,,Assistant Manager in Platinado____ Engineer of Platinado____ Supervisor of Platinado,0
IMX - Intro to AGG Orientation,Intro to AGG - Orientation (IMX),1,0,,,All IMX new hires,0
IMX - Las 7 Herramientas de Control de Calidad (todos los módulos),Seven Quality Control Tools (All Modules),1,0,,,This Audience have Seven Quality Control Tools (All Modules) Users only.,0
IMX - Legal Compliance,AGG Legal Compliance Training,1,0,,,For SPVR's and Above,0
IMX - LIVE Fire,LIVE Fire Extinguisher Certification (IMX),1,0,,,Paint____Plating____Maintenance,0
IMX - LMS Intro SPANISH,LMS Introduction (Online) - SPANISH,1,0,,,This Audience have LMS Introduction (Online) - SPANISH Users only.,0
IMX - Mantenimiento Productivo Total (TPM) (todos los módulos),Total Productive Maintenance (All Modules),1,0,,,This Audience have Total Productive Maintenance (All Modules) Users only.,0
IMX - OHC,Overhead Crane Cert. (IMX),1,0,,,This Audience have Overhead Crane Cert. (IMX) Users only.,0
IMX - Phishing & Cybersecurity,Phishing and Cybersecurity Basics,1,0,,,all salaried employees,0
IMX - Planeación Hoshin (todos los módulos),Hoshin Planning (All Modules),1,0,,,This Audience have Hoshin Planning (All Modules) Users only.,0
IMX - Pulmonary Function Test,Pulmonary Function Test,1,0,,,Plating____ Paint,0
IMX - RBT,RBT (Regional Basic Training) AGGIMX,1,0,,,RBT Audience for IMX,0
IMX - Reporte A3 (todos los módulos),A3 Thinking (All Modules),1,0,,,This Audience have A3 Thinking (All Modules) Users only.,0
IMX - Respiratory Protection E-Course,Respiratory Protection E-Course,1,0,,,Platinado and Pintura members,0
IMX - Scissor & Boom,Scissor & Boom Cert. (AGGIMX),1,0,,,This Audience have Scissor & Boom Cert. (AGGIMX) Users only.,0
IMX - Scrubber Evacuation,Scrubber Evacuation,1,0,,,Platinado____ individual maintenance personnel,0
IMX - Statement of Confidentiality,Statement of Confidentiality,1,0,,,accounting____human resources____sales,0
IMX - Static Grounding Standards,Static Grounding Standards,1,0,,,Supervisors & Lead Team Members in Paint and Plating____ Maintenance Team Members____ Engineers____ Receiving PA Team Members,0
IMX - Sustainable Development Goals,Sustainable Development Goals,1,0,,,Asst. GM and above,0
IMX - TACTIS,TACTIS,1,0,,,263465 QA – Just the position QA Engenieers 263475 – Process Engeniering 263460 – PPCC,0
IMX - Transformando Su Cadena De Valor (todos los módulos),Transforming Your Value Streams (All Modules),1,0,,,This Audience have Transforming Your Value Streams (All Modules) Users only.,0
IMX - Welding Safety,Welding Safety,1,0,,,Kaizen (TPS members)____ maintenance TM's,0
IMX Location,Lockout Tagout (Authorized),1,0,,,"Machine & Tools____Human Resources Safety Specialist, Env. & Health Ocup., Safety Tech____Plating engineers & maintenance____Equipment Engineering",0
imx_reporting_audience,IMX Reporting Audience,1,0,,,Reporting access for the IMX domain. DO NOT DELETE OR OVERRIDE,0
Indiana Location,First Aid Certification - AGGNAI,1,0,,,"AGGNAI Team Members that volunteer to be on First Aid Team and are First Aid Certified: Heartsaver First Aid CPR AED is a video-based, instructor-led course that teaches students critical skills needed to respond to and manage an emergency until emergency medical services arrives.",0
Initiative_-_TEST,Initiative - TEST,1,0,,,This Audience have Initiative - TEST Users only.,0
Injection_Machine_Nozzle_Removal_(AGGMO),Injection Machine Nozzle Removal (AGGMO),1,0,,,"Audience for users who need to take Injection Machine Nozzle Removal Training. Departments 5040, 5040I, 5040M, 5041.",0
INT007,Test Audience (Intel),1,0,,,This is a test audience for Adam W to learn his way around the LMS System,0
Intern_test,Intern test,1,0,,,This Audience have Intern test Users only.,0
Internet_Security_Awareness,Internet Security Awareness,1,0,,,AGGNA employees,0
INTRO_TO_AGG_REHIRE_IMX,Intro to AGG - Orientation Rehire (IMX),1,0,,,Audience to assign intro to AGG to rehired employees at IMX.,0
IT_Reporting_Audience,IT Reporting Audience,1,0,,,Reporting audience for IT Training.,0
Kanban_Handling,Kanban Handling,1,0,,,"Kanban Handling training for Supervisors, Lead Team Members, and Production Team Members in dept 4501.",0
Kanban_system,Kanban system,1,0,,,PPCC engenieer____ Líder de empuje____ Comprador de materiales,0
Kiken_Yochi,Kiken Yochi,1,0,,,"All Production, Quality, Setup, and Maintenance Supervisors",0
L&D_Member_Percipio_Access,L&D Member Percipio Access,1,0,,,HR Management Audience for Percipio access,0
Learnin Plan_Shift Leader (IE Mold Maint),Shift Leader (IE Mold Maint),1,0,,,Requirements for Shift Leader in IE Mold Maintenance 5043,0
Learning Plan_Assistant General Manager (IE),Assistant General Manager (IE),1,0,,,Requirements for Assistant General Manager in IE,0
Learning Plan_Design Engineer I,Design Engineer I,1,0,,,Requirements for Design Engineer I,0
Learning Plan_Design Engineer II,Design Engineer II,1,0,,,Requirements for Design Engineer II,0
Learning Plan_Design Engineer III,Design Engineer III,1,0,,,Requirements for Design Engineer III,0
Learning Plan_Engineering Technician I (Chrome),Engineering Technician I (Chrome),1,0,,,Requirements for Engineering Technician I in IE Chrome 6218,0
Learning Plan_Engineering Technician I (IE Manf Eng),Engineering Technician I (IE Manf Eng),1,0,,,Requirements for Engineering Technician I in IE Manufacturing Engineering 6219,0
Learning Plan_Engineering Technician I (IE Mold Maint),Engineering Technician I (IE Mold Maint),1,0,,,Requirements for Engineering Technician I in IE Mold Maintenance 5043,0
Learning Plan_Engineering Technician I (Paint),Engineering Technician I (Paint),1,0,,,Requirements for Engineering Technician I in IE Paint 6225,0
Learning Plan_Engineering Technician II (Chrome),Engineering Technician II (Chrome),1,0,,,Requirements for Engineering Technician II in IE Chrome 6218,0
Learning Plan_Engineering Technician II (IE Manf Eng),Engineering Technician II (IE Manf Eng),1,0,,,Requirements for Engineering Technician II in IE Manufacturing Engineering 6219,0
Learning Plan_Engineering Technician II (IE Mold Maint),Engineering Technician II (IE Mold Maint),1,0,,,Requirements for Engineering Technician II in IE Mold Maintenance 5043,0
Learning Plan_Engineering Technician II (Paint),Engineering Technician II (Paint),1,0,,,Requirements for Engineering Technician II in IE Paint 6225,0
Learning Plan_Engineering Technician III (Chrome),Engineering Technician III (Chrome),1,0,,,Requirements for Engineering Technician III in IE Chrome 6218,0
Learning Plan_Engineering Technician III (IE Manf Eng),Engineering Technician III (IE Manf Eng),1,0,,,Requirements for Engineering Technician III in IE Manufacturing Engineering 6219,0
Learning Plan_Engineering Technician III (IE Mold Maint),Engineering Technician III (IE Mold Maint),1,0,,,Requirements for Engineering Technician III in IE Mold Maintenance 5043,0
Learning Plan_Engineering Technician III (Paint),Engineering Technician III (Paint),1,0,,,Requirements for Engineering Technician III in IE Paint 6225,0
Learning Plan_General Manager (IE),General Manager (IE),1,0,,,Requirements for General Manager in IE,0
Learning Plan_Machine Engineer I (SS),Machine Engineer I (SS),1,0,,,Requirement for Machine Engineer I in SS Machine Engineering-Mass Prod 5083,0
Learning Plan_Machine Engineer II (SS),Machine Engineer II (SS),1,0,,,Requirement for Machine Engineer II in SS Machine Engineering-Mass Prod 5083,0
Learning Plan_Machine Engineer III (SS),Machine Engineer III (SS),1,0,,,Requirement for Machine Engineer III in SS Machine Engineering-Mass Prod 5083,0
Learning Plan_Manufacturing Engineer I (IE Manf Eng),Manufacturing Engineer I (IE Manf Eng),1,0,,,Requirements for Manufacturing Engineer I in IE Manufacturing Engineering 6219,0
Learning Plan_Manufacturing Engineer I (Paint),Manufacturing Engineer I (Paint),1,0,,,Requirements for Manufacturing Engineer I in IE Paint Dept 6225,0
Learning Plan_Manufacturing Engineer II (IE Manf Eng),Manufacturing Engineer II (IE Manf Eng),1,0,,,Requirements for Manufacturing Engineer II in IE Manufacturing Engineering 6219,0
Learning Plan_Manufacturing Engineer II (IE),Manufacturing Engineer II (IE),1,0,,,Requirements for Manufacturing Engineer II in IE Paint Dept 6225,0
Learning Plan_Manufacturing Engineer III,Manufacturing Engineer III,1,0,,,Requirements for Manufacturing Engineer III in IE Paint Dept 6225,0
Learning Plan_Manufacturing Engineer III (IE Manf Eng),Manufacturing Engineer III (IE Manf Eng),1,0,,,Requirements for Manufacturing Engineer III in IE Manufacturing Engineering 6219,0
Learning Plan_Mold Engineer I (IE),Mold Engineer I (IE),1,0,,,Requirements for Mold Engineer I in IE Mold Maintenance 5043,0
Learning Plan_Mold Engineer II (IE),Mold Engineer II (IE),1,0,,,Requirements for Mold Engineer II in IE Mold Maintenance 5043,0
Learning Plan_Mold Engineer III (IE),Mold Engineer III (IE),1,0,,,Requirements for Mold Engineer III in IE Mold Maintenance 5043,0
Learning Plan_President,President,1,0,,,Requirements for President,0
Learning Plan_Quality Engineer I (IE),Quality Engineer I (IE),1,0,,,Requirements for Quality Engineer I in IE Quality Control 6260,0
Learning Plan_Quality Engineer II (IE),Quality Engineer II (IE),1,0,,,Requirements for Quality Engineer II in IE Quality Control 6260,0
Learning Plan_Quality Engineer III (IE),Quality Engineer III (IE),1,0,,,Requirements for Quality Engineer III in IE Quality Control 6260,0
Learning Plan_Senior Design Engineer,Senior Design Engineer,1,0,,,Requirements for Senior Design Engineer,0
Learning Plan_Senior General Manager (IE),Senior General Manager (IE),1,0,,,Requirements for Senior General Manager in IE,0
